Sl. No.,Regions,State/UT,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April` 2023 to March 2024 - Col (2),November` 2023 - Program - Col (3),November` 2023 - Actual - Col (4),November` 2023 - Actual Same Month 2022-23 - Col (5),November` 2023 - % of Program  ( 4/3) - Col (6),November` 2023 - % of Last Year  ( 4/5)- Col (7),April` 2023 to November` 2023 - Program - Col (8),April` 2023 to November` 2023 - Actual - Col (9),April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to November` 2023 - % of Program ( 9/8) - Col (11),April` 2023 to November` 2023 - % of Last Year ( 9/10) - Col (12),Plant Load Factor ( %) - November` 2023 - Program - Col (13),Plant Load Factor ( %) - November` 2023 - Actual - Col (14),Plant Load Factor ( %) - November 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor ( %) - April 2023 to November` 2023 - Program - Col (16),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual - Col (17),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (18)
256,Northern Region,Uttar Pradesh,Central Sector,SINGRAULI STPS,NA,2000,15700,1195,1244.55,1287.45,104.15,96.67,10271,10474.35,10534.07,101.98,99.43,82.99,86.43,89.41,87.7,89.43,89.94
257,Northern Region,Uttar Pradesh,Central Sector,TANDA TPS,NA,1760,12800,727,847.24,556.39,116.54,152.27,8218,6999.91,6687.15,85.18,104.68,57.37,66.86,43.91,79.74,67.92,64.88
258,Northern Region,Uttar Pradesh,Central Sector,UNCHAHAR TPS,NA,1550,10600,767,641.27,217.65,83.61,294.63,6982,5922.26,5676.05,84.82,104.34,68.73,57.46,19.5,76.92,65.25,62.53
259,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Coal,10130,76300,5507,5430.28,4450.66,98.61,122.01,50858,45942.19,45570.27,90.33,100.82,75.5,74.45,61.02,85.73,77.45,76.82
260,Northern Region,Uttar Pradesh,Central Sector,GHATAMPUR TPP,NA,0,3300,320,0,0,0,0,1390,0,0,0,0,31.57,0,0,23.8,0,0
261,Northern Region,Uttar Pradesh,Central Sector,NUPPL,Coal,0,3300,320,0,0,0,0,1390,0,0,0,0,31.57,0,0,23.8,0,0
262,Northern Region,Uttar Pradesh,Central Sector,KHURJA TPP,NA,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Northern Region,Uttar Pradesh,Central Sector,THDC,Coal,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Northern Region,Uttar Pradesh,Central Sector,Central,Thermal,11450,87500,6114,5819.29,5273.17,95.18,110.36,57283,51115.58,49814.15,89.23,102.61,68.17,70.59,63.96,80.11,76.23,74.29
265,Northern Region,Uttar Pradesh,Central Sector,AURAIYA CCPP,NA,663.36,480,36,16.48,21.12,45.78,78.03,317,651.26,171.57,205.44,379.59,NA,NA,NA,NA,NA,NA
266,Northern Region,Uttar Pradesh,Central Sector,DADRI CCPP,NA,829.78,1040,81,22.45,29,27.72,77.41,683,854.19,611.53,125.06,139.68,NA,NA,NA,NA,NA,NA
267,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Natural Gas,1493.14,1520,117,38.93,50.12,33.27,77.67,1000,1505.45,783.1,150.55,192.24,NA,NA,NA,NA,NA,NA
268,Northern Region,Uttar Pradesh,Central Sector,Central,Natural Gas,1493.14,1520,117,38.93,50.12,33.27,77.67,1000,1505.45,783.1,150.55,192.24,NA,NA,NA,NA,NA,NA
269,Northern Region,Uttar Pradesh,Central Sector,NARORA A.P.S.,NA,440,3098,278,30.57,308.06,11,9.92,1952,2051.69,1930.32,105.11,106.29,87.75,9.65,97.24,75.76,79.63,74.92
270,Northern Region,Uttar Pradesh,Central Sector,NPCIL,Nuclear,440,3098,278,30.57,308.06,11,9.92,1952,2051.69,1930.32,105.11,106.29,87.75,9.65,97.24,75.76,79.63,74.92
271,Northern Region,Uttar Pradesh,Central Sector,Central,Nuclear,440,3098,278,30.57,308.06,11,9.92,1952,2051.69,1930.32,105.11,106.29,87.75,9.65,97.24,75.76,79.63,74.92
272,Northern Region,Uttar Pradesh,Central Sector,Total,Thermal,24075,169635,12345,11242.8,10932.7,91.07,102.84,111971,103883.59,102595.49,92.78,101.26,64.36,64.86,62.5,72.47,73.1,71.87
273,Northern Region,Uttar Pradesh,Central Sector,Total,Nuclear,440,3098,278,30.57,308.06,11,9.92,1952,2051.69,1930.32,105.11,106.29,87.75,9.65,97.24,75.76,79.63,74.92
274,Northern Region,Uttar Pradesh,Central Sector,Total,Natural Gas,1493.14,1520,117,38.93,50.12,33.27,77.67,1000,1505.45,783.1,150.55,192.24,NA,NA,NA,NA,NA,NA
275,Northern Region,Uttar Pradesh,Central Sector,Total,Hydro,501.6,1324,89,32.42,42.09,36.43,77.03,921,639.41,588.02,69.43,108.74,NA,NA,NA,NA,NA,NA
276,Northern Region,Uttar Pradesh,Central Sector,Total,Uttar Pradesh,26509.74,175577,12829,11344.72,11332.97,88.43,100.1,115844,108080.14,105896.93,93.3,102.06,NA,NA,NA,NA,NA,NA
277,Western Region,Chhatisgarh,State Sector,DSPM TPS,NA,500,3600,186,347.82,342.3,187,101.61,2337,2717.1,2431.68,116.26,111.74,51.67,96.62,95.08,79.82,92.8,83.05
278,Western Region,Chhatisgarh,State Sector,KORBA-WEST TPS,NA,1340,9600,859,821.9,819.72,95.68,100.27,6415,6198.38,6369.99,96.62,97.31,89.03,85.19,84.96,81.75,78.99,81.18
279,Western Region,Chhatisgarh,State Sector,MARWA TPS,NA,1000,5000,436,537.16,315.78,123.2,170.11,3660,4878.72,2894.93,133.3,168.53,60.56,74.61,43.86,62.5,83.31,49.44
280,Western Region,Chhatisgarh,State Sector,CSPGCL,Coal,2840,18200,1481,1706.88,1477.8,115.25,115.5,12412,13794.2,11696.6,111.14,117.93,72.43,83.47,72.27,74.63,82.94,70.33
281,Western Region,Chhatisgarh,State Sector,State Sector,Thermal,2840,18200,1481,1706.88,1477.8,115.25,115.5,12412,13794.2,11696.6,111.14,117.93,72.43,83.47,72.27,74.63,82.94,70.33
282,Western Region,Chhatisgarh,State Sector,HASDEOBANGO HPS,NA,120,274,14,10.37,3.19,74.07,325.08,234,254.21,186.54,108.64,136.28,NA,NA,NA,NA,NA,NA
283,Western Region,Chhatisgarh,State Sector,CSPGCL,Hydro,120,274,14,10.37,3.19,74.07,325.08,234,254.21,186.54,108.64,136.28,NA,NA,NA,NA,NA,NA
284,Western Region,Chhatisgarh,State Sector,State Sector,Hydro,120,274,14,10.37,3.19,74.07,325.08,234,254.21,186.54,108.64,136.28,NA,NA,NA,NA,NA,NA
285,Western Region,Chhatisgarh,Pvt Sector,CHAKABURA TPP,NA,30,200,16,17.66,20.55,110.38,85.94,133,150.24,114.48,112.96,131.24,74.07,81.76,95.14,75.71,85.52,65.16
286,Western Region,Chhatisgarh,Pvt Sector,KASAIPALLI TPP,NA,270,1700,149,146.09,90.32,98.05,161.75,1098,1136.9,529.91,103.54,214.55,76.65,75.15,46.46,69.44,71.9,33.51
287,Western Region,Chhatisgarh,Pvt Sector,SWASTIK KORBA TPP,NA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Western Region,Chhatisgarh,Pvt Sector,ACB,Coal,325,1900,165,163.75,110.87,99.24,147.7,1231,1287.14,644.39,104.56,199.75,70.51,69.98,47.38,64.68,67.63,33.86
289,Western Region,Chhatisgarh,Pvt Sector,SINGHITARAI TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Western Region,Chhatisgarh,Pvt Sector,ACPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Western Region,Chhatisgarh,Pvt Sector,ADANI POWER LIMITED RAIGARH TPP,NA,600,4200,377,322.32,322.95,85.5,99.8,2985,2570.06,2533.43,86.1,101.45,87.27,74.61,74.76,84.96,73.15,72.1
292,Western Region,Chhatisgarh,Pvt Sector,ADANI POWER LIMITED RAIPUR TPP,NA,1370,8500,733,671.85,521.03,91.66,128.95,5569,6003.16,4193.74,107.8,143.15,74.31,68.11,52.82,69.42,74.83,52.27
293,Western Region,Chhatisgarh,Pvt Sector,APL,Coal,1970,12700,1110,994.17,843.98,89.56,117.8,8554,8573.22,6727.17,100.22,127.44,78.26,70.09,59.5,74.15,74.32,58.31
294,Western Region,Chhatisgarh,Pvt Sector,BALCO TPS,NA,600,3300,270,304.88,86.59,112.92,352.1,2235,2046.91,1597.64,91.58,128.12,62.5,70.57,20.04,63.61,58.26,45.47
295,Western Region,Chhatisgarh,Pvt Sector,BALCO,Coal,600,3300,270,304.88,86.59,112.92,352.1,2235,2046.91,1597.64,91.58,128.12,62.5,70.57,20.04,63.61,58.26,45.47
296,Western Region,Chhatisgarh,Pvt Sector,BARADARHA TPS,NA,1200,8400,727,753.37,587.89,103.63,128.15,5429,5856.73,4906.7,107.88,119.36,84.14,87.2,68.04,77.26,83.34,69.82
297,Western Region,Chhatisgarh,Pvt Sector,DBPCL,Coal,1200,8400,727,753.37,587.89,103.63,128.15,5429,5856.73,4906.7,107.88,119.36,84.14,87.2,68.04,77.26,83.34,69.82
298,Western Region,Chhatisgarh,Pvt Sector,OP JINDAL TPS,NA,1000,6100,526,592.45,450.02,112.63,131.65,4195,5120.35,3445.01,122.06,148.63,73.06,82.28,62.5,71.64,87.44,58.83
299,Western Region,Chhatisgarh,Pvt Sector,TAMNAR TPP,NA,2400,11000,920,1139.98,897.69,123.91,126.99,7365,11009.31,7100.21,149.48,155.06,53.24,65.97,51.95,52.4,78.33,50.52
300,Western Region,Chhatisgarh,Pvt Sector,JPL,Coal,3400,17100,1446,1732.43,1347.71,119.81,128.55,11560,16129.66,10545.22,139.53,152.96,59.07,70.77,55.05,58.06,81.01,52.96
301,Western Region,Chhatisgarh,Pvt Sector,PATHADI STAGE II,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Western Region,Chhatisgarh,Pvt Sector,PATHADI TPP,NA,600,4400,393,344.5,256.45,87.66,134.33,2808,2428.91,2004.32,86.5,121.18,90.97,79.75,59.36,79.92,69.13,57.04
303,Western Region,Chhatisgarh,Pvt Sector,LANCO,Coal,600,4400,393,344.5,256.45,87.66,134.33,2808,2428.91,2004.32,86.5,121.18,90.97,79.75,59.36,79.92,69.13,57.04
304,Western Region,Chhatisgarh,Pvt Sector,BANDAKHAR TPP,NA,300,2200,180,157.89,152.85,87.72,103.3,1451,1434.93,863.27,98.89,166.22,83.33,73.1,70.76,82.59,81.68,49.14
305,Western Region,Chhatisgarh,Pvt Sector,MCCPL,Coal,300,2200,180,157.89,152.85,87.72,103.3,1451,1434.93,863.27,98.89,166.22,83.33,73.1,70.76,82.59,81.68,49.14
306,Western Region,Chhatisgarh,Pvt Sector,UCHPINDA TPP,NA,1440,7100,587,383.43,373.3,65.32,102.71,4753,5134.01,3425.81,108.02,149.86,56.62,36.98,36.01,56.36,60.88,40.63
307,Western Region,Chhatisgarh,Pvt Sector,RKMPPL,Coal,1440,7100,587,383.43,373.3,65.32,102.71,4753,5134.01,3425.81,108.02,149.86,56.62,36.98,36.01,56.36,60.88,40.63
308,Western Region,Chhatisgarh,Pvt Sector,RATIJA TPS,NA,100,700,58,43.34,54.96,74.72,78.86,468,454.2,332.28,97.05,136.69,80.56,60.19,76.33,79.92,77.56,56.74
309,Western Region,Chhatisgarh,Pvt Sector,SCPL,Coal,100,700,58,43.34,54.96,74.72,78.86,468,454.2,332.28,97.05,136.69,80.56,60.19,76.33,79.92,77.56,56.74
310,Western Region,Chhatisgarh,Pvt Sector,BINJKOTE TPP,NA,600,2000,166,282.18,167.02,169.99,168.95,1376,1769.28,711.12,128.58,248.8,38.43,65.32,38.66,39.16,50.36,20.24
311,Western Region,Chhatisgarh,Pvt Sector,SKS,Coal,600,2000,166,282.18,167.02,169.99,168.95,1376,1769.28,711.12,128.58,248.8,38.43,65.32,38.66,39.16,50.36,20.24
312,Western Region,Chhatisgarh,Pvt Sector,SVPL TPP,NA,63,100,8,34.44,0,430.5,0,68,216.38,0,318.21,0,17.64,75.93,0,18.43,58.65,0
313,Western Region,Chhatisgarh,Pvt Sector,SVPPL,Coal,63,100,8,34.44,0,430.5,0,68,216.38,0,318.21,0,17.64,75.93,0,18.43,58.65,0
314,Western Region,Chhatisgarh,Pvt Sector,NAWAPARA TPP,NA,600,3000,265,239.3,281.48,90.3,85.01,1970,2359.3,1561.89,119.76,151.05,61.34,55.39,65.16,56.07,67.15,44.45
315,Western Region,Chhatisgarh,Pvt Sector,TRNE,Coal,600,3000,265,239.3,281.48,90.3,85.01,1970,2359.3,1561.89,119.76,151.05,61.34,55.39,65.16,56.07,67.15,44.45
316,Western Region,Chhatisgarh,Pvt Sector,KATGHORA TPP,NA,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Western Region,Chhatisgarh,Pvt Sector,VESPL,Coal,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Western Region,Chhatisgarh,Pvt Sector,SALORA TPP,NA,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Western Region,Chhatisgarh,Pvt Sector,VVL,Coal,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Western Region,Chhatisgarh,Pvt Sector,AKALTARA TPS,NA,1800,11800,990,766.15,1003.07,77.39,76.38,7670,6889.86,6802.67,89.83,101.28,76.39,59.12,77.4,72.76,65.36,64.54
321,Western Region,Chhatisgarh,Pvt Sector,WPCL,Coal,1800,11800,990,766.15,1003.07,77.39,76.38,7670,6889.86,6802.67,89.83,101.28,76.39,59.12,77.4,72.76,65.36,64.54
322,Western Region,Chhatisgarh,Pvt Sector,Pvt Sector,Thermal,13168,74700,6365,6199.83,5266.17,97.41,117.73,49573,54580.53,40122.48,110.1,136.03,67.13,65.39,55.54,64.29,70.78,52.03
323,Western Region,Chhatisgarh,Central Sector,BHILAI TPS,NA,500,3700,315,322.17,181.4,102.28,177.6,2549,2690.45,2456.92,105.55,109.5,87.5,89.49,50.39,87.06,91.89,83.91
324,Western Region,Chhatisgarh,Central Sector,NSPCL,Coal,500,3700,315,322.17,181.4,102.28,177.6,2549,2690.45,2456.92,105.55,109.5,87.5,89.49,50.39,87.06,91.89,83.91
325,Western Region,Chhatisgarh,Central Sector,KORBA STPS,NA,2600,21175,1831,1803.75,1848.51,98.51,97.58,13945,13691.61,13698.36,98.18,99.95,97.81,96.35,98.75,91.59,89.92,89.97
326,Western Region,Chhatisgarh,Central Sector,LARA TPP,NA,1600,12000,1006,563.21,1002.65,55.99,56.17,8181,7796.69,7756.56,95.3,100.52,87.33,48.89,87.04,87.31,83.21,82.78
327,Western Region,Chhatisgarh,Central Sector,SIPAT STPS,NA,2980,22700,2077,2029.23,1910.49,97.7,106.22,14291,14169.77,13591.31,99.15,104.26,96.8,94.58,89.04,81.89,81.2,77.88
328,Western Region,Chhatisgarh,Central Sector,NTPC Ltd.,Coal,7180,55875,4914,4396.19,4761.65,89.46,92.32,36417,35658.07,35046.23,97.92,101.75,95.06,85.04,92.11,86.61,84.81,83.35
329,Western Region,Chhatisgarh,Central Sector,Central,Thermal,7680,59575,5229,4718.36,4943.05,90.23,95.45,38966,38348.52,37503.15,98.42,102.25,94.56,85.33,89.39,86.64,85.27,83.39
330,Western Region,Chhatisgarh,Central Sector,Total,Thermal,23688,152475,13075,12625.07,11687.02,96.56,108.03,100951,106723.25,89322.23,105.72,119.48,76.66,74.02,68.52,72.77,76.94,64.39
331,Western Region,Chhatisgarh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
332,Western Region,Chhatisgarh,Central Sector,Total,Hydro,120,274,14,10.37,3.19,74.07,325.08,234,254.21,186.54,108.64,136.28,NA,NA,NA,NA,NA,NA
333,Western Region,Chhatisgarh,Central Sector,Total,Chhatisgarh,23808,152749,13089,12635.44,11690.21,96.53,108.09,101185,106977.46,89508.77,105.72,119.52,NA,NA,NA,NA,NA,NA
334,Western Region,Goa,Pvt Sector,GOA CCPP (Liq.),NA,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
335,Western Region,Goa,Pvt Sector,RELIANCE,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
336,Western Region,Goa,Pvt Sector,Pvt Sector,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
337,Western Region,Goa,Pvt Sector,Total,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
338,Western Region,Goa,Pvt Sector,Total,Goa,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
339,Western Region,Gujarat,State Sector,AKRIMOTA LIG TPS,NA,250,1000,94,32.23,90.07,34.29,35.78,629,330.58,537.31,52.56,61.53,52.22,17.91,50.04,42.96,22.58,36.7
340,Western Region,Gujarat,State Sector,GMDCL,Coal,250,1000,94,32.23,90.07,34.29,35.78,629,330.58,537.31,52.56,61.53,52.22,17.91,50.04,42.96,22.58,36.7
341,Western Region,Gujarat,State Sector,BHAVNAGAR CFBC TPP,NA,500,1200,61,164.82,61.33,270.2,268.74,788,1080.41,732.88,137.11,147.42,16.94,45.78,17.04,26.91,36.9,25.03
342,Western Region,Gujarat,State Sector,GANDHI NAGAR TPS,NA,630,2900,256,88.09,331.46,34.41,26.58,1858,1984.44,2487.06,106.81,79.79,56.44,19.42,73.07,50.36,53.79,67.41
343,Western Region,Gujarat,State Sector,KUTCH LIG. TPS,NA,150,900,78,21.24,53.68,27.23,39.57,588,348.68,428.1,59.3,81.45,72.22,19.67,49.7,66.94,39.69,48.74
344,Western Region,Gujarat,State Sector,SIKKA REP. TPS,NA,500,1700,154,39.17,134.59,25.44,29.1,1114,455.32,1058.23,40.87,43.03,42.78,10.88,37.39,38.05,15.55,36.14
345,Western Region,Gujarat,State Sector,UKAI TPS,NA,1110,5900,519,285.26,449.27,54.96,63.49,3882,3568.54,3714.71,91.93,96.07,64.94,35.69,56.21,59.72,54.9,57.15
346,Western Region,Gujarat,State Sector,WANAKBORI TPS,NA,2270,10450,844,814.92,843.22,96.55,96.64,6920,8185.37,7159.57,118.29,114.33,51.64,49.86,51.59,52.06,61.58,53.86
347,Western Region,Gujarat,State Sector,GSECL,Coal,5160,23050,1912,1413.5,1873.55,73.93,75.45,15150,15622.76,15580.55,103.12,100.27,51.46,38.05,50.43,50.14,51.7,51.56
348,Western Region,Gujarat,State Sector,State Sector,Thermal,5410,24050,2006,1445.73,1963.62,72.07,73.63,15779,15953.34,16117.86,101.1,98.98,51.5,37.12,50.41,49.81,50.36,50.88
349,Western Region,Gujarat,State Sector,PIPAVAV CCPP,NA,702,500,42,14.48,0,34.48,0,343,180.54,0,52.64,0,NA,NA,NA,NA,NA,NA
350,Western Region,Gujarat,State Sector,GPPCL,Natural Gas,702,500,42,14.48,0,34.48,0,343,180.54,0,52.64,0,NA,NA,NA,NA,NA,NA
351,Western Region,Gujarat,State Sector,DHUVARAN CCPP,NA,594.72,360,29,3.68,0,12.69,0,239,184,0,76.99,0,NA,NA,NA,NA,NA,NA
352,Western Region,Gujarat,State Sector,UTRAN CCPP,NA,374,200,16,6.16,0,38.5,0,130,190.99,0,146.92,0,NA,NA,NA,NA,NA,NA
353,Western Region,Gujarat,State Sector,GSECL,Natural Gas,968.72,560,45,9.84,0,21.87,0,369,374.99,0,101.62,0,NA,NA,NA,NA,NA,NA
354,Western Region,Gujarat,State Sector,HAZIRA CCPP,NA,156.1,150,12,0,0,0,0,102,0,0,0,0,NA,NA,NA,NA,NA,NA
355,Western Region,Gujarat,State Sector,HAZIRA CCPP EXT,NA,351,200,17,0,0,0,0,132,0,0,0,0,NA,NA,NA,NA,NA,NA
356,Western Region,Gujarat,State Sector,GSEGL,Natural Gas,507.1,350,29,0,0,0,0,234,0,0,0,0,NA,NA,NA,NA,NA,NA
357,Western Region,Gujarat,State Sector,State Sector,Natural Gas,2177.82,1410,116,24.32,0,20.97,0,946,555.53,0,58.72,0,NA,NA,NA,NA,NA,NA
358,Western Region,Gujarat,State Sector,KADANA HPS,NA,240,330,13,9.8,15.13,75.38,64.77,240,173.36,264.92,72.23,65.44,NA,NA,NA,NA,NA,NA
359,Western Region,Gujarat,State Sector,UKAI HPS,NA,300,721,54,36.01,49.09,66.69,73.36,572,414.04,797.27,72.38,51.93,NA,NA,NA,NA,NA,NA
360,Western Region,Gujarat,State Sector,GSECL,Hydro,540,1051,67,45.81,64.22,68.37,71.33,812,587.4,1062.19,72.34,55.3,NA,NA,NA,NA,NA,NA
361,Western Region,Gujarat,State Sector,S SAROVAR CHPH HPS,NA,250,986,102,143.3,163.68,140.49,87.55,485,605.98,668.35,124.94,90.67,NA,NA,NA,NA,NA,NA
362,Western Region,Gujarat,State Sector,S SAROVAR RBPH HPS,NA,1200,2114,112,67.65,54.55,60.4,124.01,1645,2270.66,3175.24,138.03,71.51,NA,NA,NA,NA,NA,NA
363,Western Region,Gujarat,State Sector,SSNNL,Hydro,1450,3100,214,210.95,218.23,98.57,96.66,2130,2876.64,3843.59,135.05,74.84,NA,NA,NA,NA,NA,NA
364,Western Region,Gujarat,State Sector,State Sector,Hydro,1990,4151,281,256.76,282.45,91.37,90.9,2942,3464.04,4905.78,117.74,70.61,NA,NA,NA,NA,NA,NA
365,Western Region,Gujarat,Pvt Sector,ADANI POWER LIMITED MUNDRA TPP - III,NA,1980,6500,537,755.24,272.86,140.64,276.79,4432,8148.77,2590.96,183.86,314.51,37.67,52.98,19.14,38.22,70.28,22.35
366,Western Region,Gujarat,Pvt Sector,ADANI POWER LIMITED MUNDRA TPP - I & II,NA,2640,9600,822,1286.88,58.18,156.55,2211.89,6644,5440.91,4373.18,81.89,124.42,43.24,67.7,3.06,42.98,35.19,28.29
367,Western Region,Gujarat,Pvt Sector,APL,Coal,4620,16100,1359,2042.12,331.04,150.27,616.88,11076,13589.68,6964.14,122.69,195.14,40.85,61.39,9.95,40.94,50.23,25.74
368,Western Region,Gujarat,Pvt Sector,MUNDRA UMTPP,NA,4000,11500,1003,1761.15,1127.9,175.59,156.14,7650,13152.78,9677.57,171.93,135.91,34.83,61.15,39.16,32.66,56.15,41.31
369,Western Region,Gujarat,Pvt Sector,CGPL,Coal,4000,11500,1003,1761.15,1127.9,175.59,156.14,7650,13152.78,9677.57,171.93,135.91,34.83,61.15,39.16,32.66,56.15,41.31
370,Western Region,Gujarat,Pvt Sector,SALAYA TPP,NA,1200,2000,164,383.12,405.42,233.61,94.5,1332,2945.07,684.96,221.1,429.96,18.98,44.34,46.92,18.95,41.91,9.75
371,Western Region,Gujarat,Pvt Sector,EPGL,Coal,1200,2000,164,383.12,405.42,233.61,94.5,1332,2945.07,684.96,221.1,429.96,18.98,44.34,46.92,18.95,41.91,9.75
372,Western Region,Gujarat,Pvt Sector,SURAT LIG. TPS,NA,500,2800,238,255.81,262.44,107.48,97.47,1827,1917,1789.1,104.93,107.15,66.11,71.06,72.9,62.4,65.47,61.1
373,Western Region,Gujarat,Pvt Sector,GIPCL,Coal,500,2800,238,255.81,262.44,107.48,97.47,1827,1917,1789.1,104.93,107.15,66.11,71.06,72.9,62.4,65.47,61.1
374,Western Region,Gujarat,Pvt Sector,SABARMATI (D-F STATIONS),NA,362,2750,195,198.69,170.45,101.89,116.57,1931,1963.53,1880.76,101.68,104.4,74.82,76.23,65.4,91.09,92.62,88.72
375,Western Region,Gujarat,Pvt Sector,TOR. POW.,Coal,362,2750,195,198.69,170.45,101.89,116.57,1931,1963.53,1880.76,101.68,104.4,74.82,76.23,65.4,91.09,92.62,88.72
376,Western Region,Gujarat,Pvt Sector,Pvt Sector,Thermal,10682,35150,2959,4640.89,2297.25,156.84,202.02,23816,33568.06,20996.53,140.95,159.87,38.47,60.34,29.87,38.07,53.66,33.57
377,Western Region,Gujarat,Central Sector,PEGUTHAN CCPP,NA,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
378,Western Region,Gujarat,Central Sector,CLPINDIA,Natural Gas,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
379,Western Region,Gujarat,Central Sector,ESSAR CCPP,NA,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
380,Western Region,Gujarat,Central Sector,ESSAR,Natural Gas,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
381,Western Region,Gujarat,Central Sector,BARODA CCPP,NA,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
382,Western Region,Gujarat,Central Sector,GIPCL. GT IMP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
383,Western Region,Gujarat,Central Sector,GIPCL,Natural Gas,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
384,Western Region,Gujarat,Central Sector,SUGEN CCPP,NA,1147.5,1700,142,98,185.73,69.01,52.76,1156,2652.9,981.47,229.49,270.3,NA,NA,NA,NA,NA,NA
385,Western Region,Gujarat,Central Sector,TOR. POW.,Natural Gas,1147.5,1700,142,98,185.73,69.01,52.76,1156,2652.9,981.47,229.49,270.3,NA,NA,NA,NA,NA,NA
386,Western Region,Gujarat,Central Sector,DGEN MEGA CCPP,NA,1200,150,12,0,0,0,0,102,522.69,0,512.44,0,NA,NA,NA,NA,NA,NA
387,Western Region,Gujarat,Central Sector,UNOSUGEN CCPP,NA,382.5,500,32,8.21,5.61,25.66,146.35,331,1064.49,17.51,321.6,6079.33,NA,NA,NA,NA,NA,NA
388,Western Region,Gujarat,Central Sector,TOR. POW.,Natural Gas,1582.5,650,44,8.21,5.61,18.66,146.35,433,1587.18,17.51,366.55,9064.42,NA,NA,NA,NA,NA,NA
389,Western Region,Gujarat,Central Sector,Pvt Sector,Natural Gas,4060,2350,186,106.21,191.34,57.1,55.51,1589,4240.08,998.98,266.84,424.44,NA,NA,NA,NA,NA,NA
390,Western Region,Gujarat,Central Sector,GANDHAR CCPP,NA,657.39,540,45,13.89,23.7,30.87,58.61,362,592.07,213.94,163.56,276.75,NA,NA,NA,NA,NA,NA
391,Western Region,Gujarat,Central Sector,KAWAS CCPP,NA,656.2,430,36,11.24,22.36,31.22,50.27,285,528.12,207.73,185.31,254.23,NA,NA,NA,NA,NA,NA
392,Western Region,Gujarat,Central Sector,NTPC Ltd.,Natural Gas,1313.59,970,81,25.13,46.06,31.02,54.56,647,1120.19,421.67,173.14,265.66,NA,NA,NA,NA,NA,NA
393,Western Region,Gujarat,Central Sector,Central,Natural Gas,1313.59,970,81,25.13,46.06,31.02,54.56,647,1120.19,421.67,173.14,265.66,NA,NA,NA,NA,NA,NA
394,Western Region,Gujarat,Central Sector,KAKRAPARA,NA,1140,9014,819,800.32,204.8,97.72,390.78,5692,4722.84,2390.04,82.97,197.61,68.1,97.5,64.65,66.39,91.76,92.76
395,Western Region,Gujarat,Central Sector,NPCIL,Nuclear,1140,9014,819,800.32,204.8,97.72,390.78,5692,4722.84,2390.04,82.97,197.61,68.1,97.5,64.65,66.39,91.76,92.76
396,Western Region,Gujarat,Central Sector,Central,Nuclear,1140,9014,819,800.32,204.8,97.72,390.78,5692,4722.84,2390.04,82.97,197.61,68.1,97.5,64.65,66.39,91.76,92.76
397,Western Region,Gujarat,Central Sector,Total,Thermal,16092,59200,4965,6086.62,4260.87,122.59,142.85,39595,49521.4,37114.39,125.07,133.43,42.85,52.53,36.78,42.02,52.55,39.39
