Sl. No.,Regions,State/UT,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April` 2023 to March 2024 - Col (2),November` 2023 - Program - Col (3),November` 2023 - Actual - Col (4),November` 2023 - Actual Same Month 2022-23 - Col (5),November` 2023 - % of Program  ( 4/3) - Col (6),November` 2023 - % of Last Year  ( 4/5)- Col (7),April` 2023 to November` 2023 - Program - Col (8),April` 2023 to November` 2023 - Actual - Col (9),April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to November` 2023 - % of Program ( 9/8) - Col (11),April` 2023 to November` 2023 - % of Last Year ( 9/10) - Col (12),Plant Load Factor ( %) - November` 2023 - Program - Col (13),Plant Load Factor ( %) - November` 2023 - Actual - Col (14),Plant Load Factor ( %) - November 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor ( %) - April 2023 to November` 2023 - Program - Col (16),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual - Col (17),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (18)
44,Northern Region,Himachal Pradesh,Pvt Sector,MALANA-II HPS,NA,100,348,8,5.32,11.07,66.5,48.06,326,129.3,316.22,39.66,40.89,NA,NA,NA,NA,NA,NA
45,Northern Region,Himachal Pradesh,Pvt Sector,E.P.P.L.,Hydro,100,348,8,5.32,11.07,66.5,48.06,326,129.3,316.22,39.66,40.89,NA,NA,NA,NA,NA,NA
46,Northern Region,Himachal Pradesh,Pvt Sector,BUDHIL HPS,NA,70,293,8,7.43,10.39,92.88,71.51,269,234.86,239.95,87.31,97.88,NA,NA,NA,NA,NA,NA
47,Northern Region,Himachal Pradesh,Pvt Sector,GBHPPL,Hydro,70,293,8,7.43,10.39,92.88,71.51,269,234.86,239.95,87.31,97.88,NA,NA,NA,NA,NA,NA
48,Northern Region,Himachal Pradesh,Pvt Sector,BAJOLI HOLI HPS,NA,180,770,21,19.79,19.95,94.24,99.2,698,642.19,386.37,92,166.21,NA,NA,NA,NA,NA,NA
49,Northern Region,Himachal Pradesh,Pvt Sector,GMR BHHPL,Hydro,180,770,21,19.79,19.95,94.24,99.2,698,642.19,386.37,92,166.21,NA,NA,NA,NA,NA,NA
50,Northern Region,Himachal Pradesh,Pvt Sector,BASPA HPS,NA,300,1213,58,43.5,49.5,75,87.88,1040,1046.98,1227.75,100.67,85.28,NA,NA,NA,NA,NA,NA
51,Northern Region,Himachal Pradesh,Pvt Sector,KARCHAM WANGTOO HPS,NA,1045,4132,132,147.21,160.99,111.52,91.44,3605,3382.54,3842.37,93.83,88.03,NA,NA,NA,NA,NA,NA
52,Northern Region,Himachal Pradesh,Pvt Sector,HBPCL,Hydro,1345,5345,190,190.71,210.49,100.37,90.6,4645,4429.52,5070.12,95.36,87.37,NA,NA,NA,NA,NA,NA
53,Northern Region,Himachal Pradesh,Pvt Sector,SORANG HPS,NA,100,402,20,12.27,15.3,61.35,80.2,361,203.87,283.48,56.47,71.92,NA,NA,NA,NA,NA,NA
54,Northern Region,Himachal Pradesh,Pvt Sector,HSPCL,Hydro,100,402,20,12.27,15.3,61.35,80.2,361,203.87,283.48,56.47,71.92,NA,NA,NA,NA,NA,NA
55,Northern Region,Himachal Pradesh,Pvt Sector,CHANJU-I HPS,NA,36,158,6,4.66,6.51,77.67,71.58,133,137.96,122.16,103.73,112.93,NA,NA,NA,NA,NA,NA
56,Northern Region,Himachal Pradesh,Pvt Sector,IAEPL,Hydro,36,158,6,4.66,6.51,77.67,71.58,133,137.96,122.16,103.73,112.93,NA,NA,NA,NA,NA,NA
57,Northern Region,Himachal Pradesh,Pvt Sector,MALANA HPS,NA,86,332,11,10.17,11.44,92.45,88.9,302,219.84,290.08,72.79,75.79,NA,NA,NA,NA,NA,NA
58,Northern Region,Himachal Pradesh,Pvt Sector,MPCL,Hydro,86,332,11,10.17,11.44,92.45,88.9,302,219.84,290.08,72.79,75.79,NA,NA,NA,NA,NA,NA
59,Northern Region,Himachal Pradesh,Pvt Sector,TIDONG HPS,NA,0,50,10,0,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA
60,Northern Region,Himachal Pradesh,Pvt Sector,NTPGPL,Hydro,0,50,10,0,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA
61,Northern Region,Himachal Pradesh,Pvt Sector,Pvt Sector,Hydro,2109,8351,295,267.93,310.06,90.82,86.41,7341,6530.54,7285.31,88.96,89.64,NA,NA,NA,NA,NA,NA
62,Northern Region,Himachal Pradesh,Central Sector,BHAKRA LEFT HPS,NA,612,2014,162,195.76,172.96,120.84,113.18,1530,2009.62,1542.83,131.35,130.26,NA,NA,NA,NA,NA,NA
63,Northern Region,Himachal Pradesh,Central Sector,BHAKRA RIGHT HPS,NA,785,2586,208,192.62,147.14,92.61,130.91,1965,2332.41,1874.02,118.7,124.46,NA,NA,NA,NA,NA,NA
