Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),October` 2023 - Program - Col (3),October` 2023 - Actual - Col (4),October` 2023 - Actual Same Month 2022-23 - Col (5),October` 2023 - % of Program Col. (4/3) - Col (6),October` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to October` 2023 - Program - Col (8),April` 2023 to October` 2023 - Actual - Col (9),April` 2023 to October` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to October` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to October` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - October` 2023 - Program - Col (13),Plant Load Factor (%) - October` 2023 - Actual - Col (14),Plant Load Factor (%) - October` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to October` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual Same Peroid 2022-23 - Col (18)
257,Northern Region,Uttar Pradesh,Central Sector,TANDA TPS,NA,1760,12800,781,879.7,190.99,112.64,460.6,7491,6152.67,6130.76,82.13,100.36,59.64,67.18,14.59,82.87,68.07,67.82
258,Northern Region,Uttar Pradesh,Central Sector,UNCHAHAR TPS,NA,1550,10600,704,759.99,370.13,107.95,205.33,6215,5280.99,5458.4,84.97,96.75,61.05,65.9,32.1,78.07,66.34,68.57
259,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Coal,10130,76300,5656,5444.18,4591.01,96.25,118.58,45351,40511.91,41119.61,89.33,98.52,75.05,72.24,60.92,87.17,77.87,79.03
260,Northern Region,Uttar Pradesh,Central Sector,GHATAMPUR TPP,NA,0,3300,300,0,0,0,0,1070,0,0,0,0,28.51,0,0,22.72,0,0
261,Northern Region,Uttar Pradesh,Central Sector,NUPPL,Coal,0,3300,300,0,0,0,0,1070,0,0,0,0,28.51,0,0,22.72,0,0
262,Northern Region,Uttar Pradesh,Central Sector,KHURJA TPP,NA,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Northern Region,Uttar Pradesh,Central Sector,THDC,Coal,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Northern Region,Uttar Pradesh,Central Sector,Central,Thermal,11450,87500,6382,5891.34,5070.85,92.31,116.18,51169,45296.29,44540.98,88.52,101.7,69.06,69.16,59.53,81.79,77.03,75.74
265,Northern Region,Uttar Pradesh,Central Sector,AURAIYA CCPP,NA,663.36,480,39,101.19,10.15,259.46,996.95,281,634.78,150.45,225.9,421.92,NA,NA,NA,NA,NA,NA
266,Northern Region,Uttar Pradesh,Central Sector,DADRI CCPP,NA,829.78,1040,90,118.36,28.53,131.51,414.86,602,831.74,582.53,138.16,142.78,NA,NA,NA,NA,NA,NA
267,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Natural Gas,1493.14,1520,129,219.55,38.68,170.19,567.61,883,1466.52,732.98,166.08,200.08,NA,NA,NA,NA,NA,NA
268,Northern Region,Uttar Pradesh,Central Sector,Central,Natural Gas,1493.14,1520,129,219.55,38.68,170.19,567.61,883,1466.52,732.98,166.08,200.08,NA,NA,NA,NA,NA,NA
269,Northern Region,Uttar Pradesh,Central Sector,NARORA A.P.S.,NA,440,3098,271,268.67,300.22,99.14,89.49,1674,2021.12,1622.26,120.74,124.59,82.78,82.07,91.71,74.08,89.44,71.79
270,Northern Region,Uttar Pradesh,Central Sector,NPCIL,Nuclear,440,3098,271,268.67,300.22,99.14,89.49,1674,2021.12,1622.26,120.74,124.59,82.78,82.07,91.71,74.08,89.44,71.79
271,Northern Region,Uttar Pradesh,Central Sector,Central,Nuclear,440,3098,271,268.67,300.22,99.14,89.49,1674,2021.12,1622.26,120.74,124.59,82.78,82.07,91.71,74.08,89.44,71.79
272,Northern Region,Uttar Pradesh,Central Sector,Total,Thermal,24295,169635,12629,12720.37,11188.06,100.72,113.7,99626,92640.79,91662.79,92.99,101.07,63.78,70.37,61.66,73.6,74.24,73.18
273,Northern Region,Uttar Pradesh,Central Sector,Total,Nuclear,440,3098,271,268.67,300.22,99.14,89.49,1674,2021.12,1622.26,120.74,124.59,82.78,82.07,91.71,74.08,89.44,71.79
274,Northern Region,Uttar Pradesh,Central Sector,Total,Natural Gas,1493.14,1520,129,219.55,38.68,170.19,567.61,883,1466.52,732.98,166.08,200.08,NA,NA,NA,NA,NA,NA
275,Northern Region,Uttar Pradesh,Central Sector,Total,Hydro,501.6,1324,149,98.47,91.67,66.09,107.42,832,606.99,545.93,72.96,111.18,NA,NA,NA,NA,NA,NA
276,Northern Region,Uttar Pradesh,Central Sector,Total,Uttar Pradesh,26729.74,175577,13178,13307.06,11618.63,100.98,114.53,103015,96735.42,94563.96,93.9,102.3,NA,NA,NA,NA,NA,NA
277,Western Region,Chhatisgarh,State Sector,DSPM TPS,NA,500,3600,282,350.35,344.61,124.24,101.67,2151,2369.28,2089.38,110.15,113.4,75.81,94.18,92.64,83.76,92.26,81.36
278,Western Region,Chhatisgarh,State Sector,KORBA-WEST TPS,NA,1340,9600,819,751.21,928.86,91.72,80.87,5556,5376.48,5550.27,96.77,96.87,82.15,75.35,93.17,80.73,78.12,80.65
279,Western Region,Chhatisgarh,State Sector,MARWA TPS,NA,1000,5000,408,674.18,266.08,165.24,253.37,3224,4341.56,2579.15,134.66,168.33,54.84,90.62,35.76,62.77,84.53,50.22
280,Western Region,Chhatisgarh,State Sector,CSPGCL,Coal,2840,18200,1509,1775.74,1539.55,117.68,115.34,10931,12087.32,10218.8,110.58,118.29,71.42,84.04,72.86,74.94,82.87,70.06
281,Western Region,Chhatisgarh,State Sector,State Sector,Thermal,2840,18200,1509,1775.74,1539.55,117.68,115.34,10931,12087.32,10218.8,110.58,118.29,71.42,84.04,72.86,74.94,82.87,70.06
282,Western Region,Chhatisgarh,State Sector,HASDEOBANGO HPS,NA,120,274,50,58.35,41.19,116.7,141.66,220,243.84,183.35,110.84,132.99,NA,NA,NA,NA,NA,NA
283,Western Region,Chhatisgarh,State Sector,CSPGCL,Hydro,120,274,50,58.35,41.19,116.7,141.66,220,243.84,183.35,110.84,132.99,NA,NA,NA,NA,NA,NA
284,Western Region,Chhatisgarh,State Sector,State Sector,Hydro,120,274,50,58.35,41.19,116.7,141.66,220,243.84,183.35,110.84,132.99,NA,NA,NA,NA,NA,NA
285,Western Region,Chhatisgarh,Pvt Sector,CHAKABURA TPP,NA,30,200,15,19.11,20.81,127.4,91.83,117,132.58,93.93,113.32,141.15,67.2,85.62,93.23,75.93,86.05,60.96
286,Western Region,Chhatisgarh,Pvt Sector,KASAIPALLI TPP,NA,270,1700,137,137.38,72.54,100.28,189.39,949,990.81,439.59,104.41,225.39,68.2,68.39,36.11,68.43,71.45,31.7
287,Western Region,Chhatisgarh,Pvt Sector,SWASTIK KORBA TPP,NA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Western Region,Chhatisgarh,Pvt Sector,ACB,Coal,325,1900,152,156.49,93.35,102.95,167.64,1066,1123.39,533.52,105.38,210.56,62.86,64.72,38.61,63.86,67.3,31.96
289,Western Region,Chhatisgarh,Pvt Sector,SINGHITARAI TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Western Region,Chhatisgarh,Pvt Sector,ACPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Western Region,Chhatisgarh,Pvt Sector,ADANI POWER LIMITED RAIGARH TPP,NA,600,4200,344,335.98,405.64,97.67,82.83,2608,2247.74,2210.48,86.19,101.69,77.06,75.26,90.87,84.63,72.94,71.73
292,Western Region,Chhatisgarh,Pvt Sector,ADANI POWER LIMITED RAIPUR TPP,NA,1370,8500,674,856.7,359.66,127.11,238.2,4836,5331.31,3672.71,110.24,145.16,66.13,84.05,35.29,68.73,75.77,52.2
293,Western Region,Chhatisgarh,Pvt Sector,APL,Coal,1970,12700,1018,1192.68,765.3,117.16,155.84,7444,7579.05,5883.19,101.81,128.83,69.46,81.37,52.21,73.57,74.91,58.15
294,Western Region,Chhatisgarh,Pvt Sector,BALCO TPS,NA,600,3300,249,354.11,205.49,142.21,172.32,1965,1742.03,1511.05,88.65,115.29,55.78,79.33,46.03,63.77,56.53,49.03
295,Western Region,Chhatisgarh,Pvt Sector,BALCO,Coal,600,3300,249,354.11,205.49,142.21,172.32,1965,1742.03,1511.05,88.65,115.29,55.78,79.33,46.03,63.77,56.53,49.03
296,Western Region,Chhatisgarh,Pvt Sector,BARADARHA TPS,NA,1200,8400,666,732.12,497.62,109.93,147.12,4702,5103.36,4318.81,108.54,118.17,74.6,82,55.74,76.29,82.8,70.07
297,Western Region,Chhatisgarh,Pvt Sector,DBPCL,Coal,1200,8400,666,732.12,497.62,109.93,147.12,4702,5103.36,4318.81,108.54,118.17,74.6,82,55.74,76.29,82.8,70.07
298,Western Region,Chhatisgarh,Pvt Sector,OP JINDAL TPS,NA,1000,6100,484,573.94,429.82,118.58,133.53,3669,4527.9,2994.99,123.41,151.18,65.05,77.14,57.77,71.44,88.16,58.31
299,Western Region,Chhatisgarh,Pvt Sector,TAMNAR TPP,NA,2400,11000,845,1665.77,702.39,197.13,237.16,6445,9869.33,6202.52,153.13,159.12,47.32,93.29,39.34,52.29,80.07,50.32
300,Western Region,Chhatisgarh,Pvt Sector,JPL,Coal,3400,17100,1329,2239.71,1132.21,168.53,197.82,10114,14397.23,9197.51,142.35,156.53,52.54,88.54,44.76,57.92,82.45,52.67
301,Western Region,Chhatisgarh,Pvt Sector,PATHADI STAGE II,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Western Region,Chhatisgarh,Pvt Sector,PATHADI TPP,NA,600,4400,382,329.78,231.88,86.33,142.22,2415,2084.41,1747.87,86.31,119.25,85.57,73.88,51.94,78.37,67.64,56.72
303,Western Region,Chhatisgarh,Pvt Sector,LANCO,Coal,600,4400,382,329.78,231.88,86.33,142.22,2415,2084.41,1747.87,86.31,119.25,85.57,73.88,51.94,78.37,67.64,56.72
304,Western Region,Chhatisgarh,Pvt Sector,BANDAKHAR TPP,NA,300,2200,166,177.74,2.64,107.07,6732.58,1271,1277.04,710.42,100.48,179.76,74.37,79.63,1.18,82.49,82.88,46.11
305,Western Region,Chhatisgarh,Pvt Sector,MCCPL,Coal,300,2200,166,177.74,2.64,107.07,6732.58,1271,1277.04,710.42,100.48,179.76,74.37,79.63,1.18,82.49,82.88,46.11
306,Western Region,Chhatisgarh,Pvt Sector,UCHPINDA TPP,NA,1440,7100,547,648.68,216.2,118.59,300.04,4166,4750.58,3052.51,114.03,155.63,51.06,60.55,20.18,56.33,64.23,41.27
307,Western Region,Chhatisgarh,Pvt Sector,RKMPPL,Coal,1440,7100,547,648.68,216.2,118.59,300.04,4166,4750.58,3052.51,114.03,155.63,51.06,60.55,20.18,56.33,64.23,41.27
308,Western Region,Chhatisgarh,Pvt Sector,RATIJA TPS,NA,100,700,54,60.78,53.62,112.56,113.35,410,410.86,277.32,100.21,148.15,72.58,81.69,72.07,79.83,80,54
309,Western Region,Chhatisgarh,Pvt Sector,SCPL,Coal,100,700,54,60.78,53.62,112.56,113.35,410,410.86,277.32,100.21,148.15,72.58,81.69,72.07,79.83,80,54
310,Western Region,Chhatisgarh,Pvt Sector,BINJKOTE TPP,NA,600,2000,144,204.92,167.5,142.31,122.34,1210,1487.1,544.1,122.9,273.31,32.26,45.91,37.52,39.27,48.26,17.66
311,Western Region,Chhatisgarh,Pvt Sector,SKS,Coal,600,2000,144,204.92,167.5,142.31,122.34,1210,1487.1,544.1,122.9,273.31,32.26,45.91,37.52,39.27,48.26,17.66
312,Western Region,Chhatisgarh,Pvt Sector,SVPL TPP,NA,63,100,8,31.02,0,387.75,0,60,181.94,0,303.23,0,17.07,66.18,0,18.54,56.23,0
313,Western Region,Chhatisgarh,Pvt Sector,SVPPL,Coal,63,100,8,31.02,0,387.75,0,60,181.94,0,303.23,0,17.07,66.18,0,18.54,56.23,0
314,Western Region,Chhatisgarh,Pvt Sector,NAWAPARA TPP,NA,600,3000,243,274.82,207.05,113.09,132.73,1705,2120,1280.41,124.34,165.57,54.44,61.56,46.38,55.33,68.8,41.55
315,Western Region,Chhatisgarh,Pvt Sector,TRNE,Coal,600,3000,243,274.82,207.05,113.09,132.73,1705,2120,1280.41,124.34,165.57,54.44,61.56,46.38,55.33,68.8,41.55
316,Western Region,Chhatisgarh,Pvt Sector,KATGHORA TPP,NA,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Western Region,Chhatisgarh,Pvt Sector,VESPL,Coal,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Western Region,Chhatisgarh,Pvt Sector,SALORA TPP,NA,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Western Region,Chhatisgarh,Pvt Sector,VVL,Coal,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Western Region,Chhatisgarh,Pvt Sector,AKALTARA TPS,NA,1800,11800,935,717.37,723.32,76.72,99.18,6680,6123.71,5799.6,91.67,105.59,69.82,53.57,54.01,72.26,66.24,62.73
321,Western Region,Chhatisgarh,Pvt Sector,WPCL,Coal,1800,11800,935,717.37,723.32,76.72,99.18,6680,6123.71,5799.6,91.67,105.59,69.82,53.57,54.01,72.26,66.24,62.73
322,Western Region,Chhatisgarh,Pvt Sector,Pvt Sector,Thermal,13168,74700,5893,7120.22,4296.18,120.83,165.73,43208,48380.7,34856.31,111.97,138.8,60.15,72.68,43.85,63.89,71.54,51.54
323,Western Region,Chhatisgarh,Central Sector,BHILAI TPS,NA,500,3700,308,352.52,312.83,114.45,112.69,2234,2368.28,2275.52,106.01,104.08,82.8,94.76,84.09,86.99,92.22,88.61
324,Western Region,Chhatisgarh,Central Sector,NSPCL,Coal,500,3700,308,352.52,312.83,114.45,112.69,2234,2368.28,2275.52,106.01,104.08,82.8,94.76,84.09,86.99,92.22,88.61
325,Western Region,Chhatisgarh,Central Sector,KORBA STPS,NA,2600,21175,1869,1891.98,1852.67,101.23,102.12,12114,11887.86,11849.85,98.13,100.32,96.62,97.81,95.77,90.72,89.02,88.74
326,Western Region,Chhatisgarh,Central Sector,LARA TPP,NA,1600,12000,984,1083.25,945.85,110.09,114.53,7175,7233.48,6753.91,100.82,107.1,82.66,91,79.46,87.31,88.02,82.19
327,Western Region,Chhatisgarh,Central Sector,SIPAT STPS,NA,2980,22700,1900,2011.88,1820.52,105.89,110.51,12214,12140.54,11680.82,99.4,103.94,85.7,90.74,82.11,79.8,79.32,76.32
328,Western Region,Chhatisgarh,Central Sector,NTPC Ltd.,Coal,7180,55875,4753,4987.11,4619.04,104.93,107.97,31503,31261.88,30284.58,99.23,103.23,88.98,93.36,86.47,85.43,84.77,82.12
329,Western Region,Chhatisgarh,Central Sector,Central,Thermal,7680,59575,5061,5339.63,4931.87,105.51,108.27,33737,33630.16,32560.1,99.68,103.29,88.57,93.45,86.31,85.53,85.26,82.55
330,Western Region,Chhatisgarh,Central Sector,Total,Thermal,23688,152475,12463,14235.59,10767.6,114.22,132.21,87876,94098.18,77635.21,107.08,121.21,70.72,80.77,61.1,72.23,77.34,63.81
331,Western Region,Chhatisgarh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
332,Western Region,Chhatisgarh,Central Sector,Total,Hydro,120,274,50,58.35,41.19,116.7,141.66,220,243.84,183.35,110.84,132.99,NA,NA,NA,NA,NA,NA
333,Western Region,Chhatisgarh,Central Sector,Total,Chhatisgarh,23808,152749,12513,14293.94,10808.79,114.23,132.24,88096,94342.02,77818.56,107.09,121.23,NA,NA,NA,NA,NA,NA
334,Western Region,Goa,Pvt Sector,GOA CCPP (Liq.),NA,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
335,Western Region,Goa,Pvt Sector,Reliance,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
336,Western Region,Goa,Pvt Sector,Pvt Sector,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
337,Western Region,Goa,Pvt Sector,Total,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
338,Western Region,Goa,Pvt Sector,Total,Goa,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
339,Western Region,Gujarat,State Sector,AKRIMOTA LIG TPS,NA,250,1000,86,51.08,68.86,59.4,74.18,535,298.35,447.24,55.77,66.71,46.24,27.46,37.02,41.67,23.24,34.83
340,Western Region,Gujarat,State Sector,GMDCL,Coal,250,1000,86,51.08,68.86,59.4,74.18,535,298.35,447.24,55.77,66.71,46.24,27.46,37.02,41.67,23.24,34.83
341,Western Region,Gujarat,State Sector,BHAVNAGAR CFBC TPP,NA,500,1200,91,111.91,92.28,122.98,121.27,727,915.59,671.55,125.94,136.34,24.46,30.08,24.81,28.31,35.65,26.15
342,Western Region,Gujarat,State Sector,GANDHI NAGAR TPS,NA,630,2900,230,231.47,351.59,100.64,65.84,1602,1896.35,2155.6,118.37,87.97,49.07,49.38,75.01,49.51,58.61,66.62
343,Western Region,Gujarat,State Sector,KUTCH LIG. TPS,NA,150,900,71,43.43,65.67,61.17,66.13,510,327.44,374.42,64.2,87.45,63.62,38.92,58.84,66.2,42.5,48.6
344,Western Region,Gujarat,State Sector,SIKKA REP. TPS,NA,500,1700,120,193.24,169.09,161.03,114.28,960,416.15,923.64,43.35,45.06,32.26,51.95,45.45,37.38,16.21,35.97
345,Western Region,Gujarat,State Sector,UKAI TPS,NA,1110,5900,449,510.75,439.49,113.75,116.21,3363,3283.28,3265.44,97.63,100.55,54.37,61.85,53.22,58.99,57.59,57.28
346,Western Region,Gujarat,State Sector,WANAKBORI TPS,NA,2270,10450,841,1137.07,853.5,135.2,133.22,6076,7370.45,6316.35,121.3,116.69,49.8,67.33,50.54,52.12,63.22,54.18
347,Western Region,Gujarat,State Sector,GSECL,Coal,5160,23050,1802,2227.87,1971.62,123.63,113,13238,14209.26,13707,107.34,103.66,46.94,58.03,51.36,49.95,53.62,51.72
348,Western Region,Gujarat,State Sector,State Sector,Thermal,5410,24050,1888,2278.95,2040.48,120.71,111.69,13773,14507.61,14154.24,105.33,102.5,46.91,56.62,50.69,49.57,52.21,50.94
349,Western Region,Gujarat,State Sector,PIPAVAV CCPP,NA,702,500,43,68.96,0,160.37,0,301,166.06,0,55.17,0,NA,NA,NA,NA,NA,NA
350,Western Region,Gujarat,State Sector,GPPCL,Natural Gas,702,500,43,68.96,0,160.37,0,301,166.06,0,55.17,0,NA,NA,NA,NA,NA,NA
351,Western Region,Gujarat,State Sector,DHUVARAN CCPP,NA,594.72,360,31,20.01,0,64.55,0,210,180.32,0,85.87,0,NA,NA,NA,NA,NA,NA
352,Western Region,Gujarat,State Sector,UTRAN CCPP,NA,374,200,18,14.61,0,81.17,0,114,184.83,0,162.13,0,NA,NA,NA,NA,NA,NA
353,Western Region,Gujarat,State Sector,GSECL,Natural Gas,968.72,560,49,34.62,0,70.65,0,324,365.15,0,112.7,0,NA,NA,NA,NA,NA,NA
354,Western Region,Gujarat,State Sector,HAZIRA CCPP,NA,156.1,150,12,0,0,0,0,90,0,0,0,0,NA,NA,NA,NA,NA,NA
355,Western Region,Gujarat,State Sector,HAZIRA CCPP EXT,NA,351,200,17,0,0,0,0,115,0,0,0,0,NA,NA,NA,NA,NA,NA
356,Western Region,Gujarat,State Sector,GSEGL,Natural Gas,507.1,350,29,0,0,0,0,205,0,0,0,0,NA,NA,NA,NA,NA,NA
357,Western Region,Gujarat,State Sector,State Sector,Natural Gas,2177.82,1410,121,103.58,0,85.6,0,830,531.21,0,64,0,NA,NA,NA,NA,NA,NA
358,Western Region,Gujarat,State Sector,KADANA HPS,NA,240,330,50,31.05,32.68,62.1,95.01,227,163.56,249.79,72.05,65.48,NA,NA,NA,NA,NA,NA
359,Western Region,Gujarat,State Sector,UKAI HPS,NA,300,721,113,52.5,153.87,46.46,34.12,518,378.03,748.18,72.98,50.53,NA,NA,NA,NA,NA,NA
360,Western Region,Gujarat,State Sector,GSECL,Hydro,540,1051,163,83.55,186.55,51.26,44.79,745,541.59,997.97,72.7,54.27,NA,NA,NA,NA,NA,NA
361,Western Region,Gujarat,State Sector,S SAROVAR CHPH HPS,NA,250,986,65,100.76,150.38,155.02,67,383,462.68,504.67,120.8,91.68,NA,NA,NA,NA,NA,NA
362,Western Region,Gujarat,State Sector,S SAROVAR RBPH HPS,NA,1200,2114,229,424.7,682.12,185.46,62.26,1533,2203.01,3120.69,143.71,70.59,NA,NA,NA,NA,NA,NA
363,Western Region,Gujarat,State Sector,SSNNL,Hydro,1450,3100,294,525.46,832.5,178.73,63.12,1916,2665.69,3625.36,139.13,73.53,NA,NA,NA,NA,NA,NA
364,Western Region,Gujarat,State Sector,State Sector,Hydro,1990,4151,457,609.01,1019.05,133.26,59.76,2661,3207.28,4623.33,120.53,69.37,NA,NA,NA,NA,NA,NA
365,Western Region,Gujarat,Pvt Sector,MUNDRA TPS-III,NA,1980,6500,459,1233.39,2.59,268.71,47621.24,3895,7393.53,2318.1,189.82,318.95,31.16,83.73,0.18,38.3,72.7,22.8
366,Western Region,Gujarat,Pvt Sector,MUNDRA TPS-I & II,NA,2640,9600,723,1611.55,340.32,222.9,473.54,5822,4154.03,4315,71.35,96.27,36.81,82.05,17.33,42.94,30.64,31.82
367,Western Region,Gujarat,Pvt Sector,APL,Coal,4620,16100,1182,2844.94,342.91,240.69,829.65,9717,11547.56,6633.1,118.84,174.09,34.39,82.77,9.98,40.95,48.67,27.95
368,Western Region,Gujarat,Pvt Sector,MUNDRA UMTPP,NA,4000,11500,828,2109.45,945.2,254.76,223.17,6647,11391.63,8549.67,171.38,133.24,27.82,70.88,31.76,32.35,55.45,41.62
369,Western Region,Gujarat,Pvt Sector,CGPL,Coal,4000,11500,828,2109.45,945.2,254.76,223.17,6647,11391.63,8549.67,171.38,133.24,27.82,70.88,31.76,32.35,55.45,41.62
370,Western Region,Gujarat,Pvt Sector,SALAYA TPP,NA,1200,2000,166,445.64,164.57,268.46,270.79,1168,2561.95,279.54,219.35,916.49,18.59,49.91,18.43,18.95,41.57,4.54
371,Western Region,Gujarat,Pvt Sector,EPGL,Coal,1200,2000,166,445.64,164.57,268.46,270.79,1168,2561.95,279.54,219.35,916.49,18.59,49.91,18.43,18.95,41.57,4.54
372,Western Region,Gujarat,Pvt Sector,SURAT LIG. TPS,NA,500,2800,218,293.14,265.69,134.47,110.33,1589,1661.19,1526.66,104.54,108.81,58.6,78.8,71.42,61.88,64.69,59.45
373,Western Region,Gujarat,Pvt Sector,GIPCL,Coal,500,2800,218,293.14,265.69,134.47,110.33,1589,1661.19,1526.66,104.54,108.81,58.6,78.8,71.42,61.88,64.69,59.45
374,Western Region,Gujarat,Pvt Sector,SABARMATI (D-F STATIONS),NA,362,2750,251,260.11,230.69,103.63,112.75,1736,1764.84,1710.31,101.66,103.19,93.19,96.58,85.65,93.37,94.92,91.99
375,Western Region,Gujarat,Pvt Sector,TOR. POW.,Coal,362,2750,251,260.11,230.69,103.63,112.75,1736,1764.84,1710.31,101.66,103.19,93.19,96.58,85.65,93.37,94.92,91.99
376,Western Region,Gujarat,Pvt Sector,Pvt Sector,Thermal,10682,35150,2645,5953.28,1949.06,225.08,305.44,20857,28927.17,18699.28,138.69,154.7,33.28,74.91,24.52,38.02,52.73,34.08
377,Western Region,Gujarat,Pvt Sector,PEGUTHAN CCPP,NA,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
378,Western Region,Gujarat,Pvt Sector,CLPINDIA,Natural Gas,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
379,Western Region,Gujarat,Pvt Sector,ESSAR CCPP,NA,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
380,Western Region,Gujarat,Pvt Sector,ESSAR,Natural Gas,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
381,Western Region,Gujarat,Pvt Sector,BARODA CCPP,NA,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
382,Western Region,Gujarat,Pvt Sector,GIPCL. GT IMP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
383,Western Region,Gujarat,Pvt Sector,GIPCL,Natural Gas,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
384,Western Region,Gujarat,Pvt Sector,SUGEN CCPP,NA,1147.5,1700,147,406.32,31.21,276.41,1301.89,1014,2554.9,795.74,251.96,321.07,NA,NA,NA,NA,NA,NA
385,Western Region,Gujarat,Pvt Sector,TOR. POW.,Natural Gas,1147.5,1700,147,406.32,31.21,276.41,1301.89,1014,2554.9,795.74,251.96,321.07,NA,NA,NA,NA,NA,NA
386,Western Region,Gujarat,Pvt Sector,DGEN MEGA CCPP,NA,1200,150,12,137.44,0,1145.33,0,90,522.69,0,580.77,0,NA,NA,NA,NA,NA,NA
387,Western Region,Gujarat,Pvt Sector,UNOSUGEN CCPP,NA,382.5,500,43,123.24,3.36,286.6,3667.86,299,1056.28,11.9,353.27,8876.3,NA,NA,NA,NA,NA,NA
388,Western Region,Gujarat,Pvt Sector,TOR. POW.,Natural Gas,1582.5,650,55,260.68,3.36,473.96,7758.33,389,1578.97,11.9,405.9,13268.66,NA,NA,NA,NA,NA,NA
389,Western Region,Gujarat,Pvt Sector,Pvt Sector,Natural Gas,4060,2350,202,667,34.57,330.2,1929.42,1403,4133.87,807.64,294.65,511.85,NA,NA,NA,NA,NA,NA
390,Western Region,Gujarat,Central Sector,GANDHAR CCPP,NA,657.39,540,43,115.59,12.11,268.81,954.5,317,578.18,190.24,182.39,303.92,NA,NA,NA,NA,NA,NA
391,Western Region,Gujarat,Central Sector,KAWAS CCPP,NA,656.2,430,35,101.24,12.79,289.26,791.56,249,516.88,185.37,207.58,278.84,NA,NA,NA,NA,NA,NA
392,Western Region,Gujarat,Central Sector,NTPC Ltd.,Natural Gas,1313.59,970,78,216.83,24.9,277.99,870.8,566,1095.06,375.61,193.47,291.54,NA,NA,NA,NA,NA,NA
393,Western Region,Gujarat,Central Sector,CENTRAL,Natural Gas,1313.59,970,78,216.83,24.9,277.99,870.8,566,1095.06,375.61,193.47,291.54,NA,NA,NA,NA,NA,NA
394,Western Region,Gujarat,Central Sector,KAKRAPARA,NA,1140,9014,763,844.7,259.13,110.71,325.98,4873,3922.52,2185.24,80.49,179.5,60.48,99.59,79.16,66.15,90.67,96.7
395,Western Region,Gujarat,Central Sector,NPCIL,Nuclear,1140,9014,763,844.7,259.13,110.71,325.98,4873,3922.52,2185.24,80.49,179.5,60.48,99.59,79.16,66.15,90.67,96.7
396,Western Region,Gujarat,Central Sector,Central,Nuclear,1140,9014,763,844.7,259.13,110.71,325.98,4873,3922.52,2185.24,80.49,179.5,60.48,99.59,79.16,66.15,90.67,96.7
397,Western Region,Gujarat,Central Sector,Total,Thermal,16092,59200,4533,8232.23,3989.54,181.61,206.35,34630,43434.78,32853.52,125.43,132.21,37.86,68.76,33.32,41.9,52.55,39.75
398,Western Region,Gujarat,Central Sector,Total,Nuclear,1140,9014,763,844.7,259.13,110.71,325.98,4873,3922.52,2185.24,80.49,179.5,60.48,99.59,79.16,66.15,90.67,96.7
