Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),July` 2023 - Program - Col (3),July` 2023 - Actual - Col (4),July` 2023 - Actual Same Month 2022-23 - Col (5),July` 2023 - % of Program Col. (4/3) - Col (6),July` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to July` 2023 - Program - Col (8),April` 2023 to July` 2023 - Actual - Col (9),April` 2023 to July` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to July` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to July` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - July` 2023 - Program - Col (13),Plant Load Factor (%) - July` 2023 - Actual - Col (14),Plant Load Factor (%) - July` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to July` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual Same Peroid 2022-23 - Col (18)
255,Northern Region,Uttar Pradesh,Central Sector,TANDA TPS,NA,1760,12800,1077,867.01,895.46,80.5,96.82,4577,3240.84,4223.3,70.81,76.74,82.25,66.21,68.38,88.82,62.89,81.95
256,Northern Region,Uttar Pradesh,Central Sector,UNCHAHAR TPS,NA,1550,10600,844,793.87,838.58,94.06,94.67,3746,2859.56,3452.56,76.34,82.82,73.19,68.84,72.72,82.54,63.01,76.07
257,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Coal,10130,76300,6462,5915.22,6099.25,91.54,96.98,26895,22843.96,25165.44,84.94,90.78,85.74,78.49,80.93,90.68,77.02,84.84
258,Northern Region,Uttar Pradesh,Central Sector,GHATAMPUR TPP,NA,0,3300,160,0,0,0,0,310,0,0,0,0,32.58,0,0,16.04,0,0
259,Northern Region,Uttar Pradesh,Central Sector,NUPPL,Coal,0,3300,160,0,0,0,0,310,0,0,0,0,32.58,0,0,16.04,0,0
260,Northern Region,Uttar Pradesh,Central Sector,KHURJA TPP,NA,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Northern Region,Uttar Pradesh,Central Sector,THDC,Coal,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Northern Region,Uttar Pradesh,Central Sector,Central,Thermal,11450,87500,7290,6686.37,6376.14,91.72,104.87,30147,25781.44,26714.55,85.52,96.51,80.91,78.49,74.85,85.02,76.9,79.68
263,Northern Region,Uttar Pradesh,Central Sector,AURAIYA CCPP,NA,663.36,480,42,129.57,11.36,308.5,1140.58,172,277.49,114.73,161.33,241.86,NA,NA,NA,NA,NA,NA
264,Northern Region,Uttar Pradesh,Central Sector,DADRI CCPP,NA,829.78,1040,71,154.67,39.61,217.85,390.48,336,381.8,510.58,113.63,74.78,NA,NA,NA,NA,NA,NA
265,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Natural Gas,1493.14,1520,113,284.24,50.97,251.54,557.66,508,659.29,625.31,129.78,105.43,NA,NA,NA,NA,NA,NA
266,Northern Region,Uttar Pradesh,Central Sector,Central,Natural Gas,1493.14,1520,113,284.24,50.97,251.54,557.66,508,659.29,625.31,129.78,105.43,NA,NA,NA,NA,NA,NA
267,Northern Region,Uttar Pradesh,Central Sector,NARORA A.P.S.,NA,440,3098,126,302.19,289.39,239.83,104.42,999,1180.43,793.18,118.16,148.82,38.49,92.31,88.4,77.54,91.63,61.57
268,Northern Region,Uttar Pradesh,Central Sector,NPCIL,Nuclear,440,3098,126,302.19,289.39,239.83,104.42,999,1180.43,793.18,118.16,148.82,38.49,92.31,88.4,77.54,91.63,61.57
269,Northern Region,Uttar Pradesh,Central Sector,Central,Nuclear,440,3098,126,302.19,289.39,239.83,104.42,999,1180.43,793.18,118.16,148.82,38.49,92.31,88.4,77.54,91.63,61.57
270,Northern Region,Uttar Pradesh,Central Sector,Total,Thermal,24295,169635,13904,13461.28,13496.05,96.82,99.74,58754,51996.42,54576.62,88.5,95.27,71.13,74.47,74.38,76.37,73.09,76.43
271,Northern Region,Uttar Pradesh,Central Sector,Total,Nuclear,440,3098,126,302.19,289.39,239.83,104.42,999,1180.43,793.18,118.16,148.82,38.49,92.31,88.4,77.54,91.63,61.57
272,Northern Region,Uttar Pradesh,Central Sector,Total,Natural Gas,1493.14,1520,113,284.24,50.97,251.54,557.66,508,659.29,625.31,129.78,105.43,NA,NA,NA,NA,NA,NA
273,Northern Region,Uttar Pradesh,Central Sector,Total,Hydro,501.6,1324,111,126.55,60.43,114.01,209.42,372,278.59,254.9,74.89,109.29,NA,NA,NA,NA,NA,NA
274,Northern Region,Uttar Pradesh,Central Sector,Total,Uttar Pradesh,26729.74,175577,14254,14174.26,13896.84,99.44,102,60633,54114.73,56250.01,89.25,96.2,NA,NA,NA,NA,NA,NA
275,Western Region,Chhatisgarh,State Sector,DSPM TPS,NA,500,3600,293,338.21,285.99,115.43,118.26,1264,1340.71,1270.69,106.07,105.51,78.76,90.92,76.88,86.34,91.58,86.8
276,Western Region,Chhatisgarh,State Sector,KORBA-WEST TPS,NA,1340,9600,595,532.62,883.05,89.52,60.32,3163,3014.52,3163.38,95.31,95.29,59.68,53.42,88.57,80.62,76.83,80.63
277,Western Region,Chhatisgarh,State Sector,MARWA TPS,NA,1000,5000,419,663.1,394.27,158.26,168.18,1964,2493.81,1737.13,126.98,143.56,56.32,89.13,52.99,67.08,85.17,59.33
278,Western Region,Chhatisgarh,State Sector,CSPGCL,Coal,2840,18200,1307,1533.93,1563.31,117.36,98.12,6391,6849.04,6171.2,107.17,110.98,61.86,72.6,73.99,76.86,82.36,74.21
279,Western Region,Chhatisgarh,State Sector,State Sector,Thermal,2840,18200,1307,1533.93,1563.31,117.36,98.12,6391,6849.04,6171.2,107.17,110.98,61.86,72.6,73.99,76.86,82.36,74.21
280,Western Region,Chhatisgarh,State Sector,HASDEOBANGO HPS,NA,120,274,30,23.26,10.1,77.53,230.3,70,60.9,69.27,87,87.92,NA,NA,NA,NA,NA,NA
281,Western Region,Chhatisgarh,State Sector,CSPGCL,Hydro,120,274,30,23.26,10.1,77.53,230.3,70,60.9,69.27,87,87.92,NA,NA,NA,NA,NA,NA
282,Western Region,Chhatisgarh,State Sector,State Sector,Hydro,120,274,30,23.26,10.1,77.53,230.3,70,60.9,69.27,87,87.92,NA,NA,NA,NA,NA,NA
283,Western Region,Chhatisgarh,Pvt Sector,CHAKABURA TPP,NA,30,200,15,18.54,15.34,123.6,120.86,71,77.66,67.51,109.38,115.03,67.2,83.06,68.73,80.83,88.41,76.86
284,Western Region,Chhatisgarh,Pvt Sector,KASAIPALLI TPP,NA,270,1700,142,152.39,41.84,107.32,364.22,636,628.49,367.05,98.82,171.23,70.69,75.86,20.83,80.45,79.5,46.43
285,Western Region,Chhatisgarh,Pvt Sector,SWASTIK KORBA TPP,NA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Western Region,Chhatisgarh,Pvt Sector,ACB,Coal,325,1900,157,170.93,57.18,108.87,298.93,707,706.15,434.56,99.88,162.5,64.93,70.69,23.65,74.3,74.21,45.67
287,Western Region,Chhatisgarh,Pvt Sector,SINGHITARAI TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Western Region,Chhatisgarh,Pvt Sector,ACPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Western Region,Chhatisgarh,Pvt Sector,BALCO TPS,NA,600,3300,255,180.16,183.67,70.65,98.09,1195,927.7,950.76,77.63,97.57,57.12,40.36,41.14,68.02,52.81,54.12
290,Western Region,Chhatisgarh,Pvt Sector,BALCO,Coal,600,3300,255,180.16,183.67,70.65,98.09,1195,927.7,950.76,77.63,97.57,57.12,40.36,41.14,68.02,52.81,54.12
291,Western Region,Chhatisgarh,Pvt Sector,BARADARHA TPS,NA,1200,8400,693,744.19,325.3,107.39,228.77,2984,2861.99,2750.02,95.91,104.07,77.62,83.35,36.44,84.93,81.45,78.27
292,Western Region,Chhatisgarh,Pvt Sector,DBPCL,Coal,1200,8400,693,744.19,325.3,107.39,228.77,2984,2861.99,2750.02,95.91,104.07,77.62,83.35,36.44,84.93,81.45,78.27
293,Western Region,Chhatisgarh,Pvt Sector,RAIKHEDA TPP,NA,1370,8500,328,730.61,495.28,222.75,147.51,2789,3049.42,2419.19,109.34,126.05,32.18,71.68,48.59,69.53,76.02,60.31
294,Western Region,Chhatisgarh,Pvt Sector,GCEL,Coal,1370,8500,328,730.61,495.28,222.75,147.51,2789,3049.42,2419.19,109.34,126.05,32.18,71.68,48.59,69.53,76.02,60.31
295,Western Region,Chhatisgarh,Pvt Sector,OP JINDAL TPS,NA,1000,6100,495,651.08,459.74,131.53,141.62,2284,2561.01,1619.17,112.13,158.17,66.53,87.51,61.79,78.01,87.47,55.3
296,Western Region,Chhatisgarh,Pvt Sector,TAMNAR TPP,NA,2400,11000,645,1369.93,658.38,212.39,208.08,3960,5853.41,3863.24,147.81,151.52,36.12,76.72,36.87,56.35,83.3,54.98
297,Western Region,Chhatisgarh,Pvt Sector,JPL,Coal,3400,17100,1140,2021.01,1118.12,177.28,180.75,6244,8414.42,5482.41,134.76,153.48,45.07,79.89,44.2,62.72,84.52,55.07
298,Western Region,Chhatisgarh,Pvt Sector,PATHADI STAGE II,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Western Region,Chhatisgarh,Pvt Sector,PATHADI TPP,NA,600,4400,339,346.06,250,102.08,138.42,1359,1393.43,993.97,102.53,140.19,75.94,77.52,56,77.36,79.32,56.58
300,Western Region,Chhatisgarh,Pvt Sector,LANCO,Coal,600,4400,339,346.06,250,102.08,138.42,1359,1393.43,993.97,102.53,140.19,75.94,77.52,56,77.36,79.32,56.58
301,Western Region,Chhatisgarh,Pvt Sector,BANDAKHAR TPP,NA,300,2200,169,187.25,142.33,110.8,131.56,755,705.9,707.78,93.5,99.73,75.72,83.89,63.77,85.95,80.36,80.58
302,Western Region,Chhatisgarh,Pvt Sector,MCCPL,Coal,300,2200,169,187.25,142.33,110.8,131.56,755,705.9,707.78,93.5,99.73,75.72,83.89,63.77,85.95,80.36,80.58
303,Western Region,Chhatisgarh,Pvt Sector,AVANTHA BHANDAR,NA,600,4200,363,383.14,308.82,105.55,124.07,1520,1617.78,1306.65,106.43,123.81,81.32,85.83,69.18,86.52,92.09,74.38
304,Western Region,Chhatisgarh,Pvt Sector,REGL,Coal,600,4200,363,383.14,308.82,105.55,124.07,1520,1617.78,1306.65,106.43,123.81,81.32,85.83,69.18,86.52,92.09,74.38
305,Western Region,Chhatisgarh,Pvt Sector,UCHPINDA TPP,NA,1440,7100,475,514.57,358.84,108.33,143.4,2548,2654.67,2315.33,104.19,114.66,44.34,48.03,33.49,60.43,62.96,54.91
306,Western Region,Chhatisgarh,Pvt Sector,RKMPPL,Coal,1440,7100,475,514.57,358.84,108.33,143.4,2548,2654.67,2315.33,104.19,114.66,44.34,48.03,33.49,60.43,62.96,54.91
307,Western Region,Chhatisgarh,Pvt Sector,RATIJA TPS,NA,100,700,54,56.1,22.1,103.89,253.85,242,230.21,212.68,95.13,108.24,72.58,75.4,29.7,82.65,78.62,72.64
308,Western Region,Chhatisgarh,Pvt Sector,SCPL,Coal,100,700,54,56.1,22.1,103.89,253.85,242,230.21,212.68,95.13,108.24,72.58,75.4,29.7,82.65,78.62,72.64
309,Western Region,Chhatisgarh,Pvt Sector,BINJKOTE TPP,NA,600,2000,154,195,119.18,126.62,163.62,750,894.17,119.18,119.22,750.27,34.5,43.68,26.7,42.69,50.9,6.78
310,Western Region,Chhatisgarh,Pvt Sector,SKS,Coal,600,2000,154,195,119.18,126.62,163.62,750,894.17,119.18,119.22,750.27,34.5,43.68,26.7,42.69,50.9,6.78
311,Western Region,Chhatisgarh,Pvt Sector,SVPL TPP,NA,63,100,9,35.87,0,398.56,0,36,95.75,0,265.97,0,19.2,76.53,0,19.52,51.91,0
312,Western Region,Chhatisgarh,Pvt Sector,SVPPL,Coal,63,100,9,35.87,0,398.56,0,36,95.75,0,265.97,0,19.2,76.53,0,19.52,51.91,0
313,Western Region,Chhatisgarh,Pvt Sector,NAWAPARA TPP,NA,600,3000,249,298.9,250.43,120.04,119.35,1170,1250.61,594.5,106.89,210.36,55.78,66.96,56.1,66.6,71.19,33.84
314,Western Region,Chhatisgarh,Pvt Sector,TRNE,Coal,600,3000,249,298.9,250.43,120.04,119.35,1170,1250.61,594.5,106.89,210.36,55.78,66.96,56.1,66.6,71.19,33.84
315,Western Region,Chhatisgarh,Pvt Sector,KATGHORA TPP,NA,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,Western Region,Chhatisgarh,Pvt Sector,VESPL,Coal,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Western Region,Chhatisgarh,Pvt Sector,SALORA TPP,NA,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Western Region,Chhatisgarh,Pvt Sector,VVL,Coal,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Western Region,Chhatisgarh,Pvt Sector,AKALTARA TPS,NA,1800,11800,739,922.07,792.43,124.77,116.36,4107,3647.42,3572.49,88.81,102.1,55.18,68.85,59.17,77.93,69.21,67.78
320,Western Region,Chhatisgarh,Pvt Sector,WPCL,Coal,1800,11800,739,922.07,792.43,124.77,116.36,4107,3647.42,3572.49,88.81,102.1,55.18,68.85,59.17,77.93,69.21,67.78
321,Western Region,Chhatisgarh,Pvt Sector,Pvt Sector,Thermal,13168,74700,5124,6785.86,4423.68,132.43,153.4,26406,28449.62,21859.52,107.74,130.15,52.3,69.26,45.15,68.49,73.79,56.7
322,Western Region,Chhatisgarh,Central Sector,BHILAI TPS,NA,500,3700,311,326.46,331.14,104.97,98.59,1299,1325.23,1360.55,102.02,97.4,83.6,87.76,89.02,88.73,90.52,92.93
323,Western Region,Chhatisgarh,Central Sector,NSPCL,Coal,500,3700,311,326.46,331.14,104.97,98.59,1299,1325.23,1360.55,102.02,97.4,83.6,87.76,89.02,88.73,90.52,92.93
324,Western Region,Chhatisgarh,Central Sector,KORBA STPS,NA,2600,21175,1497,1560.16,1626.7,104.22,95.91,6863,6710.1,6648.74,97.77,100.92,77.39,80.65,84.09,90.15,88.14,87.34
325,Western Region,Chhatisgarh,Central Sector,LARA TPP,NA,1600,12000,996,1072.46,1038.75,107.68,103.25,4187,4193.2,4022.68,100.15,104.24,83.67,90.09,87.26,89.37,89.51,85.87
326,Western Region,Chhatisgarh,Central Sector,SIPAT STPS,NA,2980,22700,1453,1623.15,1763.66,111.71,92.03,7222,6817.28,5942.38,94.4,114.72,65.54,73.21,79.55,82.77,78.13,68.1
327,Western Region,Chhatisgarh,Central Sector,NTPC Ltd.,Coal,7180,55875,3946,4255.77,4429.11,107.85,96.09,18272,17720.58,16613.8,96.98,106.66,73.87,79.67,82.91,86.91,84.29,79.03
328,Western Region,Chhatisgarh,Central Sector,Central,Thermal,7680,59575,4257,4582.23,4760.25,107.64,96.26,19571,19045.81,17974.35,97.32,105.96,74.5,80.19,83.31,87.03,84.7,79.93
329,Western Region,Chhatisgarh,Central Sector,Total,Thermal,23688,152475,10688,12902.02,10747.24,120.72,120.05,52368,54344.47,46005.07,103.77,118.13,60.65,73.21,60.98,75.5,78.35,66.33
330,Western Region,Chhatisgarh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
331,Western Region,Chhatisgarh,Central Sector,Total,Hydro,120,274,30,23.26,10.1,77.53,230.3,70,60.9,69.27,87,87.92,NA,NA,NA,NA,NA,NA
332,Western Region,Chhatisgarh,Central Sector,Total,Chhatisgarh,23808,152749,10718,12925.28,10757.34,120.59,120.15,52438,54405.37,46074.34,103.75,118.08,NA,NA,NA,NA,NA,NA
333,Western Region,Goa,Pvt Sector,GOA CCPP (Liq.),NA,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
334,Western Region,Goa,Pvt Sector,Reliance,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
335,Western Region,Goa,Pvt Sector,Pvt Sector,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
336,Western Region,Goa,Pvt Sector,Total,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
337,Western Region,Goa,Pvt Sector,Total,Goa,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
338,Western Region,Gujarat,State Sector,AKRIMOTA LIG TPS,NA,250,1000,26,48.55,70.15,186.73,69.21,272,189.01,306.61,69.49,61.65,13.98,26.1,37.72,37.16,25.82,41.89
339,Western Region,Gujarat,State Sector,GMDCL,Coal,250,1000,26,48.55,70.15,186.73,69.21,272,189.01,306.61,69.49,61.65,13.98,26.1,37.72,37.16,25.82,41.89
340,Western Region,Gujarat,State Sector,BHAVNAGAR CFBC TPP,NA,500,1200,73,98.67,72.21,135.16,136.64,462,608.59,446.97,131.73,136.16,19.62,26.52,19.41,31.56,41.57,30.53
341,Western Region,Gujarat,State Sector,GANDHI NAGAR TPS,NA,630,2900,177,245.18,231.58,138.52,105.87,1034,1154.63,1357.49,111.67,85.06,37.76,52.31,49.41,56.05,62.59,73.59
342,Western Region,Gujarat,State Sector,KUTCH LIG. TPS,NA,150,900,37,26.67,17.22,72.08,154.88,311,220.84,192.39,71.01,114.79,33.15,23.9,15.43,70.81,50.28,43.8
343,Western Region,Gujarat,State Sector,SIKKA REP. TPS,NA,500,1700,75,0,53.1,0,0,622,23.68,374.6,3.81,6.32,20.16,0,14.27,42.49,1.62,25.59
344,Western Region,Gujarat,State Sector,UKAI TPS,NA,1110,5900,242,405.4,378.23,167.52,107.18,2063,1992.99,2148.25,96.61,92.77,29.3,49.09,45.8,63.48,61.32,66.1
345,Western Region,Gujarat,State Sector,WANAKBORI TPS,NA,2270,10450,761,1049.26,590.9,137.88,177.57,3944,4012.34,4127.1,101.73,97.22,45.06,62.13,34.99,59.34,60.37,62.09
346,Western Region,Gujarat,State Sector,GSECL,Coal,5160,23050,1365,1825.18,1343.24,133.71,135.88,8436,8013.07,8646.8,94.99,92.67,35.56,47.54,34.99,55.84,53.04,57.23
347,Western Region,Gujarat,State Sector,State Sector,Thermal,5410,24050,1391,1873.73,1413.39,134.7,132.57,8708,8202.08,8953.41,94.19,91.61,34.56,46.55,35.11,54.97,51.78,56.52
348,Western Region,Gujarat,State Sector,PIPAVAV CCPP,NA,702,500,43,0,0,0,0,173,33.73,0,19.5,0,NA,NA,NA,NA,NA,NA
349,Western Region,Gujarat,State Sector,GPPCL,Natural Gas,702,500,43,0,0,0,0,173,33.73,0,19.5,0,NA,NA,NA,NA,NA,NA
350,Western Region,Gujarat,State Sector,DHUVARAN CCPP,NA,594.72,360,26,6.61,0,25.42,0,121,55.47,0,45.84,0,NA,NA,NA,NA,NA,NA
351,Western Region,Gujarat,State Sector,UTRAN CCPP,NA,374,200,18,5.16,0,28.67,0,68,62.42,0,91.79,0,NA,NA,NA,NA,NA,NA
352,Western Region,Gujarat,State Sector,GSECL,Natural Gas,968.72,560,44,11.77,0,26.75,0,189,117.89,0,62.38,0,NA,NA,NA,NA,NA,NA
353,Western Region,Gujarat,State Sector,HAZIRA CCPP,NA,156.1,150,12,0,0,0,0,54,0,0,0,0,NA,NA,NA,NA,NA,NA
354,Western Region,Gujarat,State Sector,HAZIRA CCPP EXT,NA,351,200,17,0,0,0,0,64,0,0,0,0,NA,NA,NA,NA,NA,NA
355,Western Region,Gujarat,State Sector,GSEGL,Natural Gas,507.1,350,29,0,0,0,0,118,0,0,0,0,NA,NA,NA,NA,NA,NA
356,Western Region,Gujarat,State Sector,State Sector,Natural Gas,2177.82,1410,116,11.77,0,10.15,0,480,151.62,0,31.59,0,NA,NA,NA,NA,NA,NA
357,Western Region,Gujarat,State Sector,KADANA HPS,NA,240,330,22,21.52,26.28,97.82,81.89,41,43.77,51.95,106.76,84.25,NA,NA,NA,NA,NA,NA
358,Western Region,Gujarat,State Sector,UKAI HPS,NA,300,721,35,9.33,94.39,26.66,9.88,148,164.8,237.35,111.35,69.43,NA,NA,NA,NA,NA,NA
359,Western Region,Gujarat,State Sector,GSECL,Hydro,540,1051,57,30.85,120.67,54.12,25.57,189,208.57,289.3,110.35,72.09,NA,NA,NA,NA,NA,NA
360,Western Region,Gujarat,State Sector,S SAROVAR CHPH HPS,NA,250,986,48,27.38,20.58,57.04,133.04,175,164.59,89.98,94.05,182.92,NA,NA,NA,NA,NA,NA
361,Western Region,Gujarat,State Sector,S SAROVAR RBPH HPS,NA,1200,2114,38,383.24,356.57,1008.53,107.48,508,451.09,649.49,88.8,69.45,NA,NA,NA,NA,NA,NA
362,Western Region,Gujarat,State Sector,SSNNL,Hydro,1450,3100,86,410.62,377.15,477.47,108.87,683,615.68,739.47,90.14,83.26,NA,NA,NA,NA,NA,NA
363,Western Region,Gujarat,State Sector,State Sector,Hydro,1990,4151,143,441.47,497.82,308.72,88.68,872,824.25,1028.77,94.52,80.12,NA,NA,NA,NA,NA,NA
364,Western Region,Gujarat,Pvt Sector,MUNDRA TPS-III,NA,1980,6500,490,1064.76,652.93,217.3,163.07,2422,4244.8,1849.17,175.26,229.55,33.26,72.28,44.32,41.78,73.22,31.9
365,Western Region,Gujarat,Pvt Sector,MUNDRA TPS-I & II,NA,2640,9600,678,0,18.2,0,0,3634,514.24,3065.08,14.15,16.78,34.52,0,0.93,47.01,6.65,39.65
366,Western Region,Gujarat,Pvt Sector,APL,Coal,4620,16100,1168,1064.76,671.13,91.16,158.65,6056,4759.04,4914.25,78.58,96.84,33.98,30.98,19.53,44.77,35.18,36.33
367,Western Region,Gujarat,Pvt Sector,MUNDRA UMTPP,NA,4000,11500,742,1532.37,1110.13,206.52,138.04,4229,5281.86,5278.28,124.9,100.07,24.93,51.49,37.3,36.11,45.1,45.07
368,Western Region,Gujarat,Pvt Sector,CGPL,Coal,4000,11500,742,1532.37,1110.13,206.52,138.04,4229,5281.86,5278.28,124.9,100.07,24.93,51.49,37.3,36.11,45.1,45.07
369,Western Region,Gujarat,Pvt Sector,SALAYA TPP,NA,1200,2000,170,432.21,0,254.24,0,668,1523.33,0,228.04,0,19.04,48.41,0,19.01,43.36,0
370,Western Region,Gujarat,Pvt Sector,EPGL,Coal,1200,2000,170,432.21,0,254.24,0,668,1523.33,0,228.04,0,19.04,48.41,0,19.01,43.36,0
371,Western Region,Gujarat,Pvt Sector,SURAT LIG. TPS,NA,500,2800,180,200.06,190.04,111.14,105.27,998,982.96,952.05,98.49,103.25,48.39,53.78,51.09,68.17,67.14,65.03
372,Western Region,Gujarat,Pvt Sector,GIPCL,Coal,500,2800,180,200.06,190.04,111.14,105.27,998,982.96,952.05,98.49,103.25,48.39,53.78,51.09,68.17,67.14,65.03
373,Western Region,Gujarat,Pvt Sector,SABARMATI (D-F STATIONS),NA,362,2750,251,261.75,244.21,104.28,107.18,990,998.84,992.68,100.89,100.62,93.19,97.19,90.67,93.4,94.24,93.65
374,Western Region,Gujarat,Pvt Sector,TOR. POW.,Coal,362,2750,251,261.75,244.21,104.28,107.18,990,998.84,992.68,100.89,100.62,93.19,97.19,90.67,93.4,94.24,93.65
375,Western Region,Gujarat,Pvt Sector,Pvt Sector,Thermal,10682,35150,2511,3491.15,2215.51,139.03,157.58,12941,13546.03,12137.26,104.68,111.61,31.6,43.93,27.88,41.38,43.31,38.81
376,Western Region,Gujarat,Pvt Sector,PEGUTHAN CCPP,NA,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
377,Western Region,Gujarat,Pvt Sector,CLPINDIA,Natural Gas,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
378,Western Region,Gujarat,Pvt Sector,ESSAR CCPP,NA,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
379,Western Region,Gujarat,Pvt Sector,ESSAR,Natural Gas,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
380,Western Region,Gujarat,Pvt Sector,BARODA CCPP,NA,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
381,Western Region,Gujarat,Pvt Sector,GIPCL. GT IMP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
382,Western Region,Gujarat,Pvt Sector,GIPCL,Natural Gas,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
383,Western Region,Gujarat,Pvt Sector,SUGEN CCPP,NA,1147.5,1700,147,291.83,151.26,198.52,192.93,578,1419.35,724.21,245.56,195.99,NA,NA,NA,NA,NA,NA
384,Western Region,Gujarat,Pvt Sector,TOR. POW.,Natural Gas,1147.5,1700,147,291.83,151.26,198.52,192.93,578,1419.35,724.21,245.56,195.99,NA,NA,NA,NA,NA,NA
385,Western Region,Gujarat,Pvt Sector,DGEN MEGA CCPP,NA,1200,150,12,0,0,0,0,54,300.15,0,555.83,0,NA,NA,NA,NA,NA,NA
386,Western Region,Gujarat,Pvt Sector,UNOSUGEN CCPP,NA,382.5,500,43,8.85,0,20.58,0,171,530.3,8.54,310.12,6209.6,NA,NA,NA,NA,NA,NA
387,Western Region,Gujarat,Pvt Sector,TOR. POW.,Natural Gas,1582.5,650,55,8.85,0,16.09,0,225,830.45,8.54,369.09,9724.24,NA,NA,NA,NA,NA,NA
388,Western Region,Gujarat,Pvt Sector,Pvt Sector,Natural Gas,4060,2350,202,300.68,151.26,148.85,198.78,803,2249.8,732.75,280.17,307.04,NA,NA,NA,NA,NA,NA
389,Western Region,Gujarat,Central Sector,GANDHAR CCPP,NA,657.39,540,43,44.27,10.93,102.95,405.03,183,215.69,140.74,117.86,153.25,NA,NA,NA,NA,NA,NA
390,Western Region,Gujarat,Central Sector,KAWAS CCPP,NA,656.2,430,34,40.48,9.43,119.06,429.27,140,202.97,142.47,144.98,142.47,NA,NA,NA,NA,NA,NA
391,Western Region,Gujarat,Central Sector,NTPC Ltd.,Natural Gas,1313.59,970,77,84.75,20.36,110.06,416.26,323,418.66,283.21,129.62,147.83,NA,NA,NA,NA,NA,NA
392,Western Region,Gujarat,Central Sector,CENTRAL,Natural Gas,1313.59,970,77,84.75,20.36,110.06,416.26,323,418.66,283.21,129.62,147.83,NA,NA,NA,NA,NA,NA
393,Western Region,Gujarat,Central Sector,KAKRAPARA,NA,1140,9014,770,693.39,334.02,90.05,207.59,2527,1509.09,1273.94,59.72,118.46,61.31,81.75,102.03,68.22,83.42,98.88
394,Western Region,Gujarat,Central Sector,NPCIL,Nuclear,1140,9014,770,693.39,334.02,90.05,207.59,2527,1509.09,1273.94,59.72,118.46,61.31,81.75,102.03,68.22,83.42,98.88
395,Western Region,Gujarat,Central Sector,Central,Nuclear,1140,9014,770,693.39,334.02,90.05,207.59,2527,1509.09,1273.94,59.72,118.46,61.31,81.75,102.03,68.22,83.42,98.88
396,Western Region,Gujarat,Central Sector,Total,Thermal,16092,59200,3902,5364.88,3628.9,137.49,147.84,21649,21748.11,21090.67,100.46,103.12,32.59,44.81,30.31,45.95,46.16,44.76
397,Western Region,Gujarat,Central Sector,Total,Nuclear,1140,9014,770,693.39,334.02,90.05,207.59,2527,1509.09,1273.94,59.72,118.46,61.31,81.75,102.03,68.22,83.42,98.88
398,Western Region,Gujarat,Central Sector,Total,Natural Gas,7551.41,4730,395,397.2,171.62,100.56,231.44,1606,2820.08,1015.96,175.6,277.58,NA,NA,NA,NA,NA,NA
