Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),July` 2023 - Program - Col (3),July` 2023 - Actual - Col (4),July` 2023 - Actual Same Month 2022-23 - Col (5),July` 2023 - % of Program Col. (4/3) - Col (6),July` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to July` 2023 - Program - Col (8),April` 2023 to July` 2023 - Actual - Col (9),April` 2023 to July` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to July` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to July` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - July` 2023 - Program - Col (13),Plant Load Factor (%) - July` 2023 - Actual - Col (14),Plant Load Factor (%) - July` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to July` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual Same Peroid 2022-23 - Col (18)
42,Northern Region,Himachal Pradesh,Pvt Sector,ALLAIN DUHANGAN HPS,NA,192,653,148,115.18,134.24,77.82,85.8,328,299.44,293.21,91.29,102.12,NA,NA,NA,NA,NA,NA
43,Northern Region,Himachal Pradesh,Pvt Sector,ADHPL,Hydro,192,653,148,115.18,134.24,77.82,85.8,328,299.44,293.21,91.29,102.12,NA,NA,NA,NA,NA,NA
44,Northern Region,Himachal Pradesh,Pvt Sector,MALANA-II HPS,NA,100,348,79,22.3,78.62,28.23,28.36,171,105.87,161.97,61.91,65.36,NA,NA,NA,NA,NA,NA
45,Northern Region,Himachal Pradesh,Pvt Sector,E.P.P.L.,Hydro,100,348,79,22.3,78.62,28.23,28.36,171,105.87,161.97,61.91,65.36,NA,NA,NA,NA,NA,NA
46,Northern Region,Himachal Pradesh,Pvt Sector,BUDHIL HPS,NA,70,293,52,42.77,52.36,82.25,81.68,154,125.92,128.26,81.77,98.18,NA,NA,NA,NA,NA,NA
47,Northern Region,Himachal Pradesh,Pvt Sector,GBHPPL,Hydro,70,293,52,42.77,52.36,82.25,81.68,154,125.92,128.26,81.77,98.18,NA,NA,NA,NA,NA,NA
48,Northern Region,Himachal Pradesh,Pvt Sector,BAJOLI HOLI HPS,NA,180,770,127,120.6,86.28,94.96,139.78,407,376.75,167.04,92.57,225.54,NA,NA,NA,NA,NA,NA
49,Northern Region,Himachal Pradesh,Pvt Sector,GMR BHHPL,Hydro,180,770,127,120.6,86.28,94.96,139.78,407,376.75,167.04,92.57,225.54,NA,NA,NA,NA,NA,NA
50,Northern Region,Himachal Pradesh,Pvt Sector,BASPA HPS,NA,300,1213,212,210.04,236.17,99.08,88.94,540,484.14,645.35,89.66,75.02,NA,NA,NA,NA,NA,NA
51,Northern Region,Himachal Pradesh,Pvt Sector,KARCHAM WANGTOO HPS,NA,1045,4132,707,753.32,835.8,106.55,90.13,2137,1631.91,2010.27,76.36,81.18,NA,NA,NA,NA,NA,NA
52,Northern Region,Himachal Pradesh,Pvt Sector,HBPCL,Hydro,1345,5345,919,963.36,1071.97,104.83,89.87,2677,2116.05,2655.62,79.05,79.68,NA,NA,NA,NA,NA,NA
53,Northern Region,Himachal Pradesh,Pvt Sector,SORANG HPS,NA,100,402,78,19.19,42.09,24.6,45.59,173,102.15,138.02,59.05,74.01,NA,NA,NA,NA,NA,NA
54,Northern Region,Himachal Pradesh,Pvt Sector,HSPCL,Hydro,100,402,78,19.19,42.09,24.6,45.59,173,102.15,138.02,59.05,74.01,NA,NA,NA,NA,NA,NA
55,Northern Region,Himachal Pradesh,Pvt Sector,CHANJU-I HPS,NA,36,158,26,25.86,25.04,99.46,103.27,73,86.5,56.62,118.49,152.77,NA,NA,NA,NA,NA,NA
56,Northern Region,Himachal Pradesh,Pvt Sector,IAEPL,Hydro,36,158,26,25.86,25.04,99.46,103.27,73,86.5,56.62,118.49,152.77,NA,NA,NA,NA,NA,NA
57,Northern Region,Himachal Pradesh,Pvt Sector,MALANA HPS,NA,86,332,70,22.72,67.24,32.46,33.79,152,105,140.22,69.08,74.88,NA,NA,NA,NA,NA,NA
58,Northern Region,Himachal Pradesh,Pvt Sector,MPCL,Hydro,86,332,70,22.72,67.24,32.46,33.79,152,105,140.22,69.08,74.88,NA,NA,NA,NA,NA,NA
59,Northern Region,Himachal Pradesh,Pvt Sector,TIDONG HPS,NA,0,50,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
60,Northern Region,Himachal Pradesh,Pvt Sector,NTPGPL,Hydro,0,50,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
61,Northern Region,Himachal Pradesh,Pvt Sector,Pvt Sector,Hydro,2109,8351,1499,1331.98,1557.84,88.86,85.5,4135,3317.68,3740.96,80.23,88.69,NA,NA,NA,NA,NA,NA
62,Northern Region,Himachal Pradesh,Central Sector,BHAKRA LEFT HPS,NA,612,2014,197,311.39,199.75,158.07,155.89,623,753.34,688.63,120.92,109.4,NA,NA,NA,NA,NA,NA
63,Northern Region,Himachal Pradesh,Central Sector,BHAKRA RIGHT HPS,NA,785,2586,253,417.39,267.75,164.98,155.89,802,935.01,855.5,116.58,109.29,NA,NA,NA,NA,NA,NA
