Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to March 2024 - Col (2),December` 2023 - Program - Col (3),December` 2023 - Actual - Col (4),December` 2023 - Actual Same Month 2022-23 - Col (5),December` 2023 - % of Program Col. (4/3) - Col (6),December` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to December` 2023 - Program - Col (8),April` 2023 to December` 2023 - Actual - Col (9),April` 2023 to December` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to December` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to December` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - December` 2023 - Program - Col (13),Plant Load Factor (%) - December` 2023 - Actual - Col (14),Plant Load Factor (%) - December` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to December` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual Same Peroid 2022-23 - Col (18)
48,Northern Region,Himachal Pradesh,Pvt Sector,BAJOLI HOLI HPS,NA,180,770,21,16.23,14.26,77.29,113.81,719,658.42,400.63,91.57,164.35,NA,NA,NA,NA,NA,NA
49,Northern Region,Himachal Pradesh,Pvt Sector,GMR BHHPL,Hydro,180,770,21,16.23,14.26,77.29,113.81,719,658.42,400.63,91.57,164.35,NA,NA,NA,NA,NA,NA
50,Northern Region,Himachal Pradesh,Pvt Sector,BASPA HPS,NA,300,1213,47,35.56,38.29,75.66,92.87,1087,1082.54,1266.04,99.59,85.51,NA,NA,NA,NA,NA,NA
51,Northern Region,Himachal Pradesh,Pvt Sector,KARCHAM WANGTOO HPS,NA,1045,4132,158,112.85,122.55,71.42,92.08,3763,3495.39,3964.92,92.89,88.16,NA,NA,NA,NA,NA,NA
52,Northern Region,Himachal Pradesh,Pvt Sector,HBPCL,Hydro,1345,5345,205,148.41,160.84,72.4,92.27,4850,4577.93,5230.96,94.39,87.52,NA,NA,NA,NA,NA,NA
53,Northern Region,Himachal Pradesh,Pvt Sector,SORANG HPS,NA,100,402,11,9.29,10.88,84.45,85.39,372,213.16,294.36,57.3,72.41,NA,NA,NA,NA,NA,NA
54,Northern Region,Himachal Pradesh,Pvt Sector,HSPCL,Hydro,100,402,11,9.29,10.88,84.45,85.39,372,213.16,294.36,57.3,72.41,NA,NA,NA,NA,NA,NA
55,Northern Region,Himachal Pradesh,Pvt Sector,CHANJU-I HPS,NA,36,158,5,2.31,2.74,46.2,84.31,138,140.27,124.9,101.64,112.31,NA,NA,NA,NA,NA,NA
56,Northern Region,Himachal Pradesh,Pvt Sector,IAEPL,Hydro,36,158,5,2.31,2.74,46.2,84.31,138,140.27,124.9,101.64,112.31,NA,NA,NA,NA,NA,NA
57,Northern Region,Himachal Pradesh,Pvt Sector,MALANA HPS,NA,86,332,8,7.66,8.54,95.75,89.7,310,227.5,298.62,73.39,76.18,NA,NA,NA,NA,NA,NA
58,Northern Region,Himachal Pradesh,Pvt Sector,MPCL,Hydro,86,332,8,7.66,8.54,95.75,89.7,310,227.5,298.62,73.39,76.18,NA,NA,NA,NA,NA,NA
59,Northern Region,Himachal Pradesh,Pvt Sector,TIDONG HPS,NA,0,50,10,0,0,0,0,20,0,0,0,0,NA,NA,NA,NA,NA,NA
60,Northern Region,Himachal Pradesh,Pvt Sector,NTPGPL,Hydro,0,50,10,0,0,0,0,20,0,0,0,0,NA,NA,NA,NA,NA,NA
61,Northern Region,Himachal Pradesh,Pvt Sector,Pvt Sector,Hydro,2109,8351,287,208.36,231.17,72.6,90.13,7628,6738.9,7516.48,88.34,89.65,NA,NA,NA,NA,NA,NA
62,Northern Region,Himachal Pradesh,Central Sector,BHAKRA LEFT HPS,NA,612,2014,131,190.23,248.49,145.21,76.55,1661,2199.85,1791.32,132.44,122.81,NA,NA,NA,NA,NA,NA
63,Northern Region,Himachal Pradesh,Central Sector,BHAKRA RIGHT HPS,NA,785,2586,169,204.5,361.76,121.01,56.53,2134,2536.91,2235.78,118.88,113.47,NA,NA,NA,NA,NA,NA
64,Northern Region,Himachal Pradesh,Central Sector,DEHAR HPS,NA,990,3000,100,96.26,110.92,96.26,86.78,2700,2478.93,2732.45,91.81,90.72,NA,NA,NA,NA,NA,NA
65,Northern Region,Himachal Pradesh,Central Sector,PONG HPS,NA,396,1100,90,147.93,136.86,164.37,108.09,890,1341.33,1138.63,150.71,117.8,NA,NA,NA,NA,NA,NA
66,Northern Region,Himachal Pradesh,Central Sector,BBMB,Hydro,2783,8700,490,638.92,858.03,130.39,74.46,7385,8557.02,7898.18,115.87,108.34,NA,NA,NA,NA,NA,NA
67,Northern Region,Himachal Pradesh,Central Sector,BAIRA SIUL HPS,NA,180,692,21,15.17,19.73,72.24,76.89,629,442.7,494.24,70.38,89.57,NA,NA,NA,NA,NA,NA
68,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-I HPS,NA,540,2224,50,39.98,50.16,79.96,79.7,1942,1932.3,1718.52,99.5,112.44,NA,NA,NA,NA,NA,NA
69,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-II HPS,NA,300,1433,31,35.31,36.29,113.9,97.3,1242,1084.23,1205.59,87.3,89.93,NA,NA,NA,NA,NA,NA
70,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-III HPS,NA,231,1063,33,25.2,29.73,76.36,84.76,976,790.86,923.54,81.03,85.63,NA,NA,NA,NA,NA,NA
71,Northern Region,Himachal Pradesh,Central Sector,PARBATI-II HPS,NA,0,285,35,0,0,0,0,45,0,0,0,0,NA,NA,NA,NA,NA,NA
72,Northern Region,Himachal Pradesh,Central Sector,PARBATI-III HPS,NA,520,809,28,13.57,15,48.46,90.47,641,289.68,619.9,45.19,46.73,NA,NA,NA,NA,NA,NA
73,Northern Region,Himachal Pradesh,Central Sector,NHPC,Hydro,1771,6506,198,129.23,150.91,65.27,85.63,5475,4539.77,4961.79,82.92,91.49,NA,NA,NA,NA,NA,NA
74,Northern Region,Himachal Pradesh,Central Sector,KOLDAM,NA,800,3100,76,89.59,93.91,117.88,95.4,2857,2712.52,2891.59,94.94,93.81,NA,NA,NA,NA,NA,NA
75,Northern Region,Himachal Pradesh,Central Sector,NTPC Ltd.,Hydro,800,3100,76,89.59,93.91,117.88,95.4,2857,2712.52,2891.59,94.94,93.81,NA,NA,NA,NA,NA,NA
76,Northern Region,Himachal Pradesh,Central Sector,NATHPA JHAKRI HPS,NA,1500,6925,241,219.76,238.89,91.19,91.99,6315,5729.41,6512.27,90.73,87.98,NA,NA,NA,NA,NA,NA
77,Northern Region,Himachal Pradesh,Central Sector,RAMPUR HPS,NA,412.02,1940,67,63.07,67.51,94.13,93.42,1770,1612.04,1819.64,91.08,88.59,NA,NA,NA,NA,NA,NA
78,Northern Region,Himachal Pradesh,Central Sector,SJVNL,Hydro,1912.02,8865,308,282.83,306.4,91.83,92.31,8085,7341.45,8331.91,90.8,88.11,NA,NA,NA,NA,NA,NA
79,Northern Region,Himachal Pradesh,Central Sector,Central,Hydro,7266.02,27171,1072,1140.57,1409.25,106.4,80.93,23802,23150.76,24083.47,97.26,96.13,NA,NA,NA,NA,NA,NA
80,Northern Region,Himachal Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
81,Northern Region,Himachal Pradesh,Central Sector,Total,Hydro,10263.02,38524,1464,1430.66,1757.96,97.72,81.38,34120,32268.8,34487.77,94.57,93.57,NA,NA,NA,NA,NA,NA
82,Northern Region,Himachal Pradesh,Central Sector,Total,Himachal Pradesh,10263.02,38524,1464,1430.66,1757.96,97.72,81.38,34120,32268.8,34487.77,94.57,93.57,NA,NA,NA,NA,NA,NA
83,Northern Region,Jammu and Kashmir,State Sector,PAMPORE GPS (Liq.),NA,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
84,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
85,Northern Region,Jammu and Kashmir,State Sector,State Sector,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
86,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR HPS,NA,450,2751,115,108.53,101.46,94.37,106.97,2365,2236.17,2313.12,94.55,96.67,NA,NA,NA,NA,NA,NA
87,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR II HPS,NA,450,1700,0,0.15,8.76,0,1.71,1700,1518.31,1462.55,89.31,103.81,NA,NA,NA,NA,NA,NA
88,Northern Region,Jammu and Kashmir,State Sector,LOWER JHELUM HPS,NA,105,650,35,21.25,24.5,60.71,86.73,510,411.26,465.51,80.64,88.35,NA,NA,NA,NA,NA,NA
89,Northern Region,Jammu and Kashmir,State Sector,UPPER SINDH-II HPS,NA,105,450,11,7.42,8.8,67.45,84.32,414,119.03,240.17,28.75,49.56,NA,NA,NA,NA,NA,NA
90,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Hydro,1110,5551,161,137.35,143.52,85.31,95.7,4989,4284.77,4481.35,85.88,95.61,NA,NA,NA,NA,NA,NA
91,Northern Region,Jammu and Kashmir,State Sector,State Sector,Hydro,1110,5551,161,137.35,143.52,85.31,95.7,4989,4284.77,4481.35,85.88,95.61,NA,NA,NA,NA,NA,NA
92,Northern Region,Jammu and Kashmir,Central Sector,DULHASTI HPS,NA,390,2267,90,92.63,80.21,102.92,115.48,2036,1854.93,1946.5,91.11,95.3,NA,NA,NA,NA,NA,NA
