Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to March 2024 - Col (2),December` 2023 - Program - Col (3),December` 2023 - Actual - Col (4),December` 2023 - Actual Same Month 2022-23 - Col (5),December` 2023 - % of Program Col. (4/3) - Col (6),December` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to December` 2023 - Program - Col (8),April` 2023 to December` 2023 - Actual - Col (9),April` 2023 to December` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to December` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to December` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - December` 2023 - Program - Col (13),Plant Load Factor (%) - December` 2023 - Actual - Col (14),Plant Load Factor (%) - December` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to December` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual Same Peroid 2022-23 - Col (18)
266,Northern Region,Uttar Pradesh,Central Sector,DADRI CCPP,NA,829.78,1040,91,28.29,35.52,31.09,79.65,774,882.48,647.05,114.02,136.39,NA,NA,NA,NA,NA,NA
267,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Natural Gas,1493.14,1520,130,49.41,59.97,38.01,82.39,1130,1554.86,843.07,137.6,184.43,NA,NA,NA,NA,NA,NA
268,Northern Region,Uttar Pradesh,Central Sector,Central,Natural Gas,1493.14,1520,130,49.41,59.97,38.01,82.39,1130,1554.86,843.07,137.6,184.43,NA,NA,NA,NA,NA,NA
269,Northern Region,Uttar Pradesh,Central Sector,NARORA A.P.S.,NA,440,3098,288,1.92,326.8,0.67,0.59,2240,2053.61,2257.12,91.68,90.98,87.98,0.59,99.83,77.13,70.72,77.72
270,Northern Region,Uttar Pradesh,Central Sector,NPCIL,Nuclear,440,3098,288,1.92,326.8,0.67,0.59,2240,2053.61,2257.12,91.68,90.98,87.98,0.59,99.83,77.13,70.72,77.72
271,Northern Region,Uttar Pradesh,Central Sector,Central,Nuclear,440,3098,288,1.92,326.8,0.67,0.59,2240,2053.61,2257.12,91.68,90.98,87.98,0.59,99.83,77.13,70.72,77.72
272,Northern Region,Uttar Pradesh,Central Sector,Total,Thermal,24075,169635,13664,11708.12,12233.89,85.69,95.7,125635,115591.71,114829.38,92.01,100.66,68.31,65.37,67.68,72,72.23,71.4
273,Northern Region,Uttar Pradesh,Central Sector,Total,Nuclear,440,3098,288,1.92,326.8,0.67,0.59,2240,2053.61,2257.12,91.68,90.98,87.98,0.59,99.83,77.13,70.72,77.72
274,Northern Region,Uttar Pradesh,Central Sector,Total,Natural Gas,1493.14,1520,130,49.41,59.97,38.01,82.39,1130,1554.86,843.07,137.6,184.43,NA,NA,NA,NA,NA,NA
275,Northern Region,Uttar Pradesh,Central Sector,Total,Hydro,501.6,1324,112,27.42,108.78,24.48,25.21,1033,666.83,696.8,64.55,95.7,NA,NA,NA,NA,NA,NA
276,Northern Region,Uttar Pradesh,Central Sector,Total,Uttar Pradesh,26509.74,175577,14194,11786.87,12729.44,83.04,92.6,130038,119867.01,118626.37,92.18,101.05,NA,NA,NA,NA,NA,NA
277,Western Region,Chhatisgarh,State Sector,DSPM TPS,NA,500,3600,315,350.58,277.78,111.3,126.21,2652,3067.68,2709.46,115.67,113.22,84.68,94.24,74.67,80.36,92.96,82.1
278,Western Region,Chhatisgarh,State Sector,KORBA-WEST TPS,NA,1340,9600,825,832.04,881.2,100.85,94.42,7240,7030.42,7251.19,97.11,96.96,82.75,83.46,88.39,81.86,79.49,81.99
279,Western Region,Chhatisgarh,State Sector,MARWA TPS,NA,1000,5000,241,593.16,320.78,246.12,184.91,3901,5471.88,3215.71,140.27,170.16,32.39,79.73,43.12,59.11,82.91,48.72
280,Western Region,Chhatisgarh,State Sector,CSPGCL,Coal,2840,18200,1381,1775.78,1479.76,128.59,120,13793,15569.98,13176.36,112.88,118.17,65.36,84.04,70.03,73.59,83.07,70.3
281,Western Region,Chhatisgarh,State Sector,State Sector,Thermal,2840,18200,1381,1775.78,1479.76,128.59,120,13793,15569.98,13176.36,112.88,118.17,65.36,84.04,70.03,73.59,83.07,70.3
282,Western Region,Chhatisgarh,State Sector,HASDEOBANGO HPS,NA,120,274,10,3.72,3.73,37.2,99.73,244,257.93,190.27,105.71,135.56,NA,NA,NA,NA,NA,NA
283,Western Region,Chhatisgarh,State Sector,CSPGCL,Hydro,120,274,10,3.72,3.73,37.2,99.73,244,257.93,190.27,105.71,135.56,NA,NA,NA,NA,NA,NA
284,Western Region,Chhatisgarh,State Sector,State Sector,Hydro,120,274,10,3.72,3.73,37.2,99.73,244,257.93,190.27,105.71,135.56,NA,NA,NA,NA,NA,NA
285,Western Region,Chhatisgarh,Pvt Sector,CHAKABURA TPP,NA,30,200,17,17.66,21.54,103.88,81.99,150,167.9,136.02,111.93,123.44,76.16,79.12,96.51,75.76,84.8,68.7
286,Western Region,Chhatisgarh,Pvt Sector,KASAIPALLI TPP,NA,270,1700,151,157.66,132.09,104.41,119.36,1249,1294.56,662,103.65,195.55,75.17,78.48,65.76,70.09,72.65,37.15
287,Western Region,Chhatisgarh,Pvt Sector,SWASTIK KORBA TPP,NA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Western Region,Chhatisgarh,Pvt Sector,ACB,Coal,325,1900,168,175.32,153.63,104.36,114.12,1399,1462.46,798.02,104.54,183.26,69.48,72.51,63.54,65.22,68.18,37.2
289,Western Region,Chhatisgarh,Pvt Sector,SINGHITARAI TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Western Region,Chhatisgarh,Pvt Sector,ACPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Western Region,Chhatisgarh,Pvt Sector,ADANI POWER LIMITED RAIGARH TPP,NA,600,4200,383,351.78,378.79,91.85,92.87,3368,2921.84,2912.22,86.75,100.33,85.8,78.8,84.85,85.05,73.78,73.54
292,Western Region,Chhatisgarh,Pvt Sector,ADANI POWER LIMITED RAIPUR TPP,NA,1370,8500,728,416.16,777.72,57.16,53.51,6297,6419.32,4971.46,101.94,129.12,71.42,40.83,76.3,69.64,70.99,54.98
293,Western Region,Chhatisgarh,Pvt Sector,APL,Coal,1970,12700,1111,767.94,1156.51,69.12,66.4,9665,9341.16,7883.68,96.65,118.49,75.8,52.39,78.91,74.33,71.84,60.63
294,Western Region,Chhatisgarh,Pvt Sector,BALCO TPS,NA,600,3300,255,316.66,125.39,124.18,252.54,2490,2363.57,1723.03,94.92,137.18,57.12,70.94,28.09,62.88,59.69,43.51
295,Western Region,Chhatisgarh,Pvt Sector,BALCO,Coal,600,3300,255,316.66,125.39,124.18,252.54,2490,2363.57,1723.03,94.92,137.18,57.12,70.94,28.09,62.88,59.69,43.51
296,Western Region,Chhatisgarh,Pvt Sector,BARADARHA TPS,NA,1200,8400,744,757.11,628.06,101.76,120.55,6173,6613.84,5534.76,107.14,119.5,83.33,84.8,70.35,77.94,83.51,69.88
297,Western Region,Chhatisgarh,Pvt Sector,DBPCL,Coal,1200,8400,744,757.11,628.06,101.76,120.55,6173,6613.84,5534.76,107.14,119.5,83.33,84.8,70.35,77.94,83.51,69.88
298,Western Region,Chhatisgarh,Pvt Sector,OP JINDAL TPS,NA,1000,6100,421,620.58,592.1,147.41,104.81,4616,5740.93,4037.11,124.37,142.2,56.59,83.41,79.58,69.94,86.98,61.17
299,Western Region,Chhatisgarh,Pvt Sector,TAMNAR TPP,NA,2400,11000,868,1530.6,1284.43,176.34,119.17,8233,12539.91,8384.64,152.31,149.56,48.61,85.72,71.93,51.98,79.17,52.93
300,Western Region,Chhatisgarh,Pvt Sector,JPL,Coal,3400,17100,1289,2151.18,1876.53,166.89,114.64,12849,18280.84,12421.75,142.27,147.17,50.96,85.04,74.18,57.26,81.47,55.36
301,Western Region,Chhatisgarh,Pvt Sector,PATHADI STAGE II,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Western Region,Chhatisgarh,Pvt Sector,PATHADI TPP,NA,600,4400,402,339.21,294.38,84.38,115.23,3210,2768.12,2298.7,86.23,120.42,90.05,75.99,65.95,81.06,69.9,58.05
303,Western Region,Chhatisgarh,Pvt Sector,LANCO,Coal,600,4400,402,339.21,294.38,84.38,115.23,3210,2768.12,2298.7,86.23,120.42,90.05,75.99,65.95,81.06,69.9,58.05
304,Western Region,Chhatisgarh,Pvt Sector,BANDAKHAR TPP,NA,300,2200,186,202.13,203.08,108.67,99.53,1637,1637.06,1066.35,100,153.52,83.33,90.56,90.99,82.68,82.68,53.86
305,Western Region,Chhatisgarh,Pvt Sector,MCCPL,Coal,300,2200,186,202.13,203.08,108.67,99.53,1637,1637.06,1066.35,100,153.52,83.33,90.56,90.99,82.68,82.68,53.86
306,Western Region,Chhatisgarh,Pvt Sector,UCHPINDA TPP,NA,1440,7100,583,411.78,504.74,70.63,81.58,5336,5545.79,3930.55,103.93,141.09,54.42,38.44,47.11,56.14,58.35,41.36
307,Western Region,Chhatisgarh,Pvt Sector,RKMPPL,Coal,1440,7100,583,411.78,504.74,70.63,81.58,5336,5545.79,3930.55,103.93,141.09,54.42,38.44,47.11,56.14,58.35,41.36
308,Western Region,Chhatisgarh,Pvt Sector,RATIJA TPS,NA,100,700,60,62.39,45.87,103.98,136.01,528,516.59,378.15,97.84,136.61,80.65,83.86,61.65,80,78.27,57.3
309,Western Region,Chhatisgarh,Pvt Sector,SCPL,Coal,100,700,60,62.39,45.87,103.98,136.01,528,516.59,378.15,97.84,136.61,80.65,83.86,61.65,80,78.27,57.3
310,Western Region,Chhatisgarh,Pvt Sector,BINJKOTE TPP,NA,600,2000,144,234.52,176.23,162.86,133.08,1520,2003.8,887.35,131.83,225.82,32.26,52.54,39.48,38.38,50.6,22.41
311,Western Region,Chhatisgarh,Pvt Sector,SKS,Coal,600,2000,144,234.52,176.23,162.86,133.08,1520,2003.8,887.35,131.83,225.82,32.26,52.54,39.48,38.38,50.6,22.41
312,Western Region,Chhatisgarh,Pvt Sector,SVPL TPP,NA,63,100,8,22.71,0,283.88,0,76,239.09,0,314.59,0,17.07,48.45,0,18.28,57.5,0
313,Western Region,Chhatisgarh,Pvt Sector,SVPPL,Coal,63,100,8,22.71,0,283.88,0,76,239.09,0,314.59,0,17.07,48.45,0,18.28,57.5,0
314,Western Region,Chhatisgarh,Pvt Sector,NAWAPARA TPP,NA,600,3000,263,198.48,198.48,75.47,100,2233,2557.78,1760.37,114.54,145.3,58.92,44.46,44.46,56.39,64.59,44.45
315,Western Region,Chhatisgarh,Pvt Sector,TRNE,Coal,600,3000,263,198.48,198.48,75.47,100,2233,2557.78,1760.37,114.54,145.3,58.92,44.46,44.46,56.39,64.59,44.45
316,Western Region,Chhatisgarh,Pvt Sector,KATGHORA TPP,NA,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Western Region,Chhatisgarh,Pvt Sector,VESPL,Coal,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Western Region,Chhatisgarh,Pvt Sector,SALORA TPP,NA,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Western Region,Chhatisgarh,Pvt Sector,VVL,Coal,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Western Region,Chhatisgarh,Pvt Sector,AKALTARA TPS,NA,1800,11800,1015,1036.71,973.23,102.14,106.52,8685,7926.57,7775.9,91.27,101.94,75.79,77.41,72.67,73.11,66.72,65.45
321,Western Region,Chhatisgarh,Pvt Sector,WPCL,Coal,1800,11800,1015,1036.71,973.23,102.14,106.52,8685,7926.57,7775.9,91.27,101.94,75.79,77.41,72.67,73.11,66.72,65.45
322,Western Region,Chhatisgarh,Pvt Sector,Pvt Sector,Thermal,13168,74700,6228,6676.14,6336.13,107.2,105.37,55801,61256.67,46458.61,109.78,131.85,63.57,68.14,64.67,64.21,70.48,53.46
323,Western Region,Chhatisgarh,Central Sector,BHILAI TPS,NA,500,3700,325,338.26,326.52,104.08,103.6,2874,3028.71,2783.44,105.38,108.81,87.37,90.93,87.77,87.09,91.78,84.35
324,Western Region,Chhatisgarh,Central Sector,NSPCL,Coal,500,3700,325,338.26,326.52,104.08,103.6,2874,3028.71,2783.44,105.38,108.81,87.37,90.93,87.77,87.09,91.78,84.35
325,Western Region,Chhatisgarh,Central Sector,KORBA STPS,NA,2600,21175,1887,1840.52,1863.48,97.54,98.77,15832,15532.13,15561.84,98.11,99.81,97.55,95.15,96.33,92.26,90.51,90.69
326,Western Region,Chhatisgarh,Central Sector,LARA TPP,NA,1600,12000,1037,635.51,902.87,61.28,70.39,9218,8432.2,8659.43,91.48,97.38,87.11,53.39,75.85,87.29,79.85,82
327,Western Region,Chhatisgarh,Central Sector,SIPAT STPS,NA,2980,22700,2136,2121.86,1966.73,99.34,107.89,16427,16291.63,15558.04,99.18,104.72,96.34,95.7,88.71,83.52,82.83,79.1
328,Western Region,Chhatisgarh,Central Sector,NTPC Ltd.,Coal,7180,55875,5060,4597.89,4733.08,90.87,97.14,41477,40255.96,39779.31,97.06,101.2,94.72,86.07,88.6,87.53,84.95,83.94
329,Western Region,Chhatisgarh,Central Sector,Central,Thermal,7680,59575,5385,4936.15,5059.6,91.66,97.56,44351,43284.67,42562.75,97.6,101.7,94.24,86.39,88.55,87.5,85.39,83.97
330,Western Region,Chhatisgarh,Central Sector,Total,Thermal,23688,152475,12994,13388.07,12875.49,103.03,103.98,113945,120111.32,102197.72,105.41,117.53,73.73,75.97,73.06,72.88,76.83,65.37
331,Western Region,Chhatisgarh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
332,Western Region,Chhatisgarh,Central Sector,Total,Hydro,120,274,10,3.72,3.73,37.2,99.73,244,257.93,190.27,105.71,135.56,NA,NA,NA,NA,NA,NA
333,Western Region,Chhatisgarh,Central Sector,Total,Chhatisgarh,23808,152749,13004,13391.79,12879.22,102.98,103.98,114189,120369.25,102387.99,105.41,117.56,NA,NA,NA,NA,NA,NA
334,Western Region,Goa,Pvt Sector,GOA CCPP (Liq.),NA,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
335,Western Region,Goa,Pvt Sector,Reliance,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
336,Western Region,Goa,Pvt Sector,Pvt Sector,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
337,Western Region,Goa,Pvt Sector,Total,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
338,Western Region,Goa,Pvt Sector,Total,Goa,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
339,Western Region,Gujarat,State Sector,AKRIMOTA LIG TPS,NA,250,1000,91,39.03,76.12,42.89,51.27,720,369.61,613.43,51.33,60.25,48.92,20.98,40.92,43.64,22.4,37.18
340,Western Region,Gujarat,State Sector,GMDCL,Coal,250,1000,91,39.03,76.12,42.89,51.27,720,369.61,613.43,51.33,60.25,48.92,20.98,40.92,43.64,22.4,37.18
341,Western Region,Gujarat,State Sector,BHAVNAGAR CFBC TPP,NA,500,1200,95,181.73,144.76,191.29,125.54,883,1262.14,877.64,142.94,143.81,25.54,48.85,38.91,26.76,38.25,26.6
342,Western Region,Gujarat,State Sector,GANDHI NAGAR TPS,NA,630,2900,259,161.94,326.45,62.53,49.61,2117,2146.38,2813.51,101.39,76.29,55.26,34.55,69.65,50.91,51.62,67.66
343,Western Region,Gujarat,State Sector,KUTCH LIG. TPS,NA,150,900,78,28.75,50.08,36.86,57.41,666,377.43,478.18,56.67,78.93,69.89,25.76,44.87,67.27,38.12,48.3
344,Western Region,Gujarat,State Sector,SIKKA REP. TPS,NA,500,1700,133,106.22,146.88,79.86,72.32,1247,561.54,1205.11,45.03,46.6,35.75,28.55,39.48,37.79,17.02,36.52
345,Western Region,Gujarat,State Sector,UKAI TPS,NA,1110,5900,519,292.06,412.26,56.27,70.84,4401,3860.6,4126.97,87.72,93.55,62.85,35.37,49.92,60.07,52.7,56.33
346,Western Region,Gujarat,State Sector,WANAKBORI TPS,NA,2270,10450,824,849.98,749.83,103.15,113.36,7744,9035.35,7909.4,116.68,114.24,48.79,50.33,44.4,51.69,60.31,52.79
347,Western Region,Gujarat,State Sector,GSECL,Coal,5160,23050,1908,1620.68,1830.26,84.94,88.55,17058,17243.44,17410.81,101.09,99.04,49.7,42.22,47.67,50.09,50.63,51.12
348,Western Region,Gujarat,State Sector,State Sector,Thermal,5410,24050,1999,1659.71,1906.38,83.03,87.06,17778,17613.05,18024.24,99.07,97.72,49.66,41.23,47.36,49.79,49.33,50.48
349,Western Region,Gujarat,State Sector,PIPAVAV CCPP,NA,702,500,43,19.77,6.56,45.98,301.37,386,200.31,6.56,51.89,3053.51,NA,NA,NA,NA,NA,NA
350,Western Region,Gujarat,State Sector,GPPCL,Natural Gas,702,500,43,19.77,6.56,45.98,301.37,386,200.31,6.56,51.89,3053.51,NA,NA,NA,NA,NA,NA
351,Western Region,Gujarat,State Sector,DHUVARAN CCPP,NA,594.72,360,31,24.77,0,79.9,0,270,208.77,0,77.32,0,NA,NA,NA,NA,NA,NA
352,Western Region,Gujarat,State Sector,UTRAN CCPP,NA,374,200,18,17.08,0,94.89,0,148,208.07,0,140.59,0,NA,NA,NA,NA,NA,NA
353,Western Region,Gujarat,State Sector,GSECL,Natural Gas,968.72,560,49,41.85,0,85.41,0,418,416.84,0,99.72,0,NA,NA,NA,NA,NA,NA
354,Western Region,Gujarat,State Sector,HAZIRA CCPP,NA,156.1,150,12,0,0,0,0,114,0,0,0,0,NA,NA,NA,NA,NA,NA
355,Western Region,Gujarat,State Sector,HAZIRA CCPP EXT,NA,351,200,17,15.03,0.84,88.41,1789.29,149,15.03,0.84,10.09,1789.29,NA,NA,NA,NA,NA,NA
356,Western Region,Gujarat,State Sector,GSEGL,Natural Gas,507.1,350,29,15.03,0.84,51.83,1789.29,263,15.03,0.84,5.71,1789.29,NA,NA,NA,NA,NA,NA
357,Western Region,Gujarat,State Sector,State Sector,Natural Gas,2177.82,1410,121,76.65,7.4,63.35,1035.81,1067,632.18,7.4,59.25,8542.97,NA,NA,NA,NA,NA,NA
358,Western Region,Gujarat,State Sector,KADANA HPS,NA,240,330,21,17.41,23.77,82.9,73.24,261,190.77,288.69,73.09,66.08,NA,NA,NA,NA,NA,NA
359,Western Region,Gujarat,State Sector,UKAI HPS,NA,300,721,34,24.23,45.21,71.26,53.59,606,438.27,842.48,72.32,52.02,NA,NA,NA,NA,NA,NA
360,Western Region,Gujarat,State Sector,GSECL,Hydro,540,1051,55,41.64,68.98,75.71,60.37,867,629.04,1131.17,72.55,55.61,NA,NA,NA,NA,NA,NA
361,Western Region,Gujarat,State Sector,S SAROVAR CHPH HPS,NA,250,986,138,161.8,163.27,117.25,99.1,623,767.78,831.62,123.24,92.32,NA,NA,NA,NA,NA,NA
362,Western Region,Gujarat,State Sector,S SAROVAR RBPH HPS,NA,1200,2114,150,49.61,28,33.07,177.18,1795,2320.27,3203.24,129.26,72.44,NA,NA,NA,NA,NA,NA
363,Western Region,Gujarat,State Sector,SSNNL,Hydro,1450,3100,288,211.41,191.27,73.41,110.53,2418,3088.05,4034.86,127.71,76.53,NA,NA,NA,NA,NA,NA
364,Western Region,Gujarat,State Sector,State Sector,Hydro,1990,4151,343,253.05,260.25,73.78,97.23,3285,3717.09,5166.03,113.15,71.95,NA,NA,NA,NA,NA,NA
365,Western Region,Gujarat,Pvt Sector,ADANI POWER LIMITED MUNDRA TPP - III,NA,1980,6500,468,866.12,297.3,185.07,291.33,4900,9014.89,2888.26,183.98,312.12,31.77,58.79,20.18,37.5,68.98,22.1
366,Western Region,Gujarat,Pvt Sector,ADANI POWER LIMITED MUNDRA TPP - I & II,NA,2640,9600,505,1382.44,130.37,273.75,1060.4,7149,6823.35,4503.55,95.44,151.51,25.71,70.38,6.64,41.03,39.16,25.85
367,Western Region,Gujarat,Pvt Sector,APL,Coal,4620,16100,973,2248.56,427.67,231.1,525.77,12049,15838.24,7391.81,131.45,214.27,28.31,65.42,12.44,39.52,51.94,24.24
368,Western Region,Gujarat,Pvt Sector,MUNDRA UMTPP,NA,4000,11500,874,1649.21,1334.1,188.7,123.62,8524,14801.99,11011.67,173.65,134.42,29.37,55.42,44.83,32.29,56.07,41.71
369,Western Region,Gujarat,Pvt Sector,CGPL,Coal,4000,11500,874,1649.21,1334.1,188.7,123.62,8524,14801.99,11011.67,173.65,134.42,29.37,55.42,44.83,32.29,56.07,41.71
370,Western Region,Gujarat,Pvt Sector,SALAYA TPP,NA,1200,2000,170,327.82,563.79,192.84,58.15,1502,3272.89,1248.75,217.9,262.09,19.04,36.72,63.15,18.96,41.32,15.77
371,Western Region,Gujarat,Pvt Sector,EPGL,Coal,1200,2000,170,327.82,563.79,192.84,58.15,1502,3272.89,1248.75,217.9,262.09,19.04,36.72,63.15,18.96,41.32,15.77
372,Western Region,Gujarat,Pvt Sector,SURAT LIG. TPS,NA,500,2800,242,282.76,282.5,116.84,100.09,2069,2199.76,2071.6,106.32,106.19,65.05,76.01,75.94,62.7,66.66,62.78
373,Western Region,Gujarat,Pvt Sector,GIPCL,Coal,500,2800,242,282.76,282.5,116.84,100.09,2069,2199.76,2071.6,106.32,106.19,65.05,76.01,75.94,62.7,66.66,62.78
374,Western Region,Gujarat,Pvt Sector,SABARMATI (D-F STATIONS),NA,362,2750,172,171.18,201.74,99.52,84.85,2103,2134.71,2082.5,101.51,102.51,63.86,63.56,74.9,88.02,89.35,87.16
375,Western Region,Gujarat,Pvt Sector,TOR. POW.,Coal,362,2750,172,171.18,201.74,99.52,84.85,2103,2134.71,2082.5,101.51,102.51,63.86,63.56,74.9,88.02,89.35,87.16
376,Western Region,Gujarat,Pvt Sector,Pvt Sector,Thermal,10682,35150,2431,4679.53,2809.8,192.49,166.54,26247,38247.59,23806.33,145.72,160.66,30.59,58.88,35.35,37.23,54.25,33.77
377,Western Region,Gujarat,Pvt Sector,PEGUTHAN CCPP,NA,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
378,Western Region,Gujarat,Pvt Sector,CLPINDIA,Natural Gas,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
379,Western Region,Gujarat,Pvt Sector,ESSAR CCPP,NA,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
380,Western Region,Gujarat,Pvt Sector,ESSAR,Natural Gas,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
381,Western Region,Gujarat,Pvt Sector,BARODA CCPP,NA,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
382,Western Region,Gujarat,Pvt Sector,GIPCL. GT IMP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
383,Western Region,Gujarat,Pvt Sector,GIPCL,Natural Gas,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
384,Western Region,Gujarat,Pvt Sector,SUGEN CCPP,NA,1147.5,1700,135,164.04,65.46,121.51,250.6,1291,2816.94,1046.93,218.2,269.07,NA,NA,NA,NA,NA,NA
385,Western Region,Gujarat,Pvt Sector,TOR. POW.,Natural Gas,1147.5,1700,135,164.04,65.46,121.51,250.6,1291,2816.94,1046.93,218.2,269.07,NA,NA,NA,NA,NA,NA
386,Western Region,Gujarat,Pvt Sector,DGEN MEGA CCPP,NA,1200,150,12,0,0,0,0,114,522.69,0,458.5,0,NA,NA,NA,NA,NA,NA
387,Western Region,Gujarat,Pvt Sector,UNOSUGEN CCPP,NA,382.5,500,43,9.71,29.72,22.58,32.67,374,1074.2,47.23,287.22,2274.4,NA,NA,NA,NA,NA,NA
388,Western Region,Gujarat,Pvt Sector,TOR. POW.,Natural Gas,1582.5,650,55,9.71,29.72,17.65,32.67,488,1596.89,47.23,327.23,3381.09,NA,NA,NA,NA,NA,NA
389,Western Region,Gujarat,Pvt Sector,Pvt Sector,Natural Gas,4060,2350,190,173.75,95.18,91.45,182.55,1779,4413.83,1094.16,248.11,403.4,NA,NA,NA,NA,NA,NA
390,Western Region,Gujarat,Central Sector,GANDHAR CCPP,NA,657.39,540,45,18.73,21.66,41.62,86.47,407,610.8,235.6,150.07,259.25,NA,NA,NA,NA,NA,NA
391,Western Region,Gujarat,Central Sector,KAWAS CCPP,NA,656.2,430,36,20.89,23.4,58.03,89.27,321,549.01,231.13,171.03,237.53,NA,NA,NA,NA,NA,NA
392,Western Region,Gujarat,Central Sector,NTPC Ltd.,Natural Gas,1313.59,970,81,39.62,45.06,48.91,87.93,728,1159.81,466.73,159.31,248.5,NA,NA,NA,NA,NA,NA
393,Western Region,Gujarat,Central Sector,CENTRAL,Natural Gas,1313.59,970,81,39.62,45.06,48.91,87.93,728,1159.81,466.73,159.31,248.5,NA,NA,NA,NA,NA,NA
394,Western Region,Gujarat,Central Sector,KAKRAPARA,NA,1140,9014,826,840.69,288.11,101.78,291.79,6518,5563.53,2678.15,85.36,207.74,66.73,99.12,88.01,66.43,92.8,92.22
395,Western Region,Gujarat,Central Sector,NPCIL,Nuclear,1140,9014,826,840.69,288.11,101.78,291.79,6518,5563.53,2678.15,85.36,207.74,66.73,99.12,88.01,66.43,92.8,92.22
396,Western Region,Gujarat,Central Sector,Central,Nuclear,1140,9014,826,840.69,288.11,101.78,291.79,6518,5563.53,2678.15,85.36,207.74,66.73,99.12,88.01,66.43,92.8,92.22
397,Western Region,Gujarat,Central Sector,Total,Thermal,16092,59200,4430,6339.24,4716.18,143.1,134.41,44025,55860.64,41830.57,126.88,133.54,37,52.95,39.39,41.45,52.6,39.39
398,Western Region,Gujarat,Central Sector,Total,Nuclear,1140,9014,826,840.69,288.11,101.78,291.79,6518,5563.53,2678.15,85.36,207.74,66.73,99.12,88.01,66.43,92.8,92.22
399,Western Region,Gujarat,Central Sector,Total,Natural Gas,7551.41,4730,392,290.02,147.64,73.98,196.44,3574,6205.82,1568.29,173.64,395.71,NA,NA,NA,NA,NA,NA
400,Western Region,Gujarat,Central Sector,Total,Hydro,1990,4151,343,253.05,260.25,73.78,97.23,3285,3717.09,5166.03,113.15,71.95,NA,NA,NA,NA,NA,NA
401,Western Region,Gujarat,Central Sector,Total,Gujarat,26773.41,77095,5991,7723,5412.18,128.91,142.7,57402,71347.08,51243.04,124.29,139.23,NA,NA,NA,NA,NA,NA
402,Western Region,Madhya Pradesh,State Sector,AMARKANTAK EXT TPS,NA,210,1650,140,154.69,153.5,110.49,100.78,1229,1351.02,998.64,109.93,135.29,89.61,99.01,98.25,88.67,97.48,72.05
403,Western Region,Madhya Pradesh,State Sector,SANJAY GANDHI TPS,NA,1340,8550,801,816.14,783.65,101.89,104.15,6161,6253.13,6442.67,101.5,97.06,80.34,81.86,78.6,69.66,70.7,72.85
404,Western Region,Madhya Pradesh,State Sector,SATPURA TPS,NA,1330,3750,331,355.05,370.93,107.27,95.72,2758,2845.96,2903.74,103.19,98.01,33.45,35.88,37.49,31.42,32.42,33.08
405,Western Region,Madhya Pradesh,State Sector,SHREE SINGAJI TPP,NA,2520,13700,1173,1237.6,1449.22,105.51,85.4,10095,10692.65,9511.27,105.92,112.42,62.56,66.01,77.3,60.7,64.29,57.19
