Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),September` 2023 - Program - Col (3),September` 2023 - Actual - Col (4),September` 2023 - Actual Same Month 2022-23 - Col (5),September` 2023 - % of Program Col. (4/3) - Col (6),September` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to September` 2023 - Program - Col (8),April` 2023 to September` 2023 - Actual - Col (9),April` 2023 to September` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to September` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to September` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - September` 2023 - Program - Col (13),Plant Load Factor (%) - September` 2023 - Actual - Col (14),Plant Load Factor (%) - September` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to September` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual Same Peroid 2022-23 - Col (18)
255,Northern Region,Uttar Pradesh,Central Sector,RIHAND STPS,NA,3000,24600,2111,2009.36,1701.38,95.19,118.1,12899,12181.32,11887.62,94.44,102.47,97.73,93.03,78.77,97.9,92.45,90.22
256,Northern Region,Uttar Pradesh,Central Sector,SINGRAULI STPS,NA,2000,15700,1139,1251.6,1320.6,109.89,94.78,7932,8129.42,7859.92,102.49,103.43,79.1,86.92,91.71,90.3,92.55,89.48
257,Northern Region,Uttar Pradesh,Central Sector,TANDA TPS,NA,1760,12800,1029,993.44,875.92,96.54,113.42,6710,5272.97,5939.77,78.58,88.77,81.2,78.4,69.12,86.81,68.22,76.84
258,Northern Region,Uttar Pradesh,Central Sector,UNCHAHAR TPS,NA,1550,10600,866,788.8,778.33,91.09,101.35,5511,4521,5088.27,82.04,88.85,77.6,70.68,69.74,80.95,66.41,74.74
259,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Coal,10130,76300,6182,5945.54,5554.79,96.18,107.03,39695,35067.73,36528.6,88.34,96,84.76,81.52,76.16,89.22,78.82,82.1
260,Northern Region,Uttar Pradesh,Central Sector,GHATAMPUR TPP,NA,0,3300,300,0,0,0,0,770,0,0,0,0,33.67,0,0,21.73,0,0
261,Northern Region,Uttar Pradesh,Central Sector,NUPPL,Coal,0,3300,300,0,0,0,0,770,0,0,0,0,33.67,0,0,21.73,0,0
262,Northern Region,Uttar Pradesh,Central Sector,KHURJA TPP,NA,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Northern Region,Uttar Pradesh,Central Sector,THDC,Coal,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Northern Region,Uttar Pradesh,Central Sector,Central,Thermal,11450,87500,7158,6727.58,6233.57,93.99,107.92,44787,39404.95,39470.13,87.98,99.83,80.49,81.61,75.61,83.94,78.36,78.49
265,Northern Region,Uttar Pradesh,Central Sector,AURAIYA CCPP,NA,663.36,480,31,74.03,13.09,238.81,565.55,242,533.59,140.3,220.49,380.32,NA,NA,NA,NA,NA,NA
266,Northern Region,Uttar Pradesh,Central Sector,DADRI CCPP,NA,829.78,1040,88,96.13,23.55,109.24,408.2,512,713.38,554,139.33,128.77,NA,NA,NA,NA,NA,NA
267,Northern Region,Uttar Pradesh,Central Sector,NTPC Ltd.,Natural Gas,1493.14,1520,119,170.16,36.64,142.99,464.41,754,1246.97,694.3,165.38,179.6,NA,NA,NA,NA,NA,NA
268,Northern Region,Uttar Pradesh,Central Sector,Central,Natural Gas,1493.14,1520,119,170.16,36.64,142.99,464.41,754,1246.97,694.3,165.38,179.6,NA,NA,NA,NA,NA,NA
269,Northern Region,Uttar Pradesh,Central Sector,NARORA A.P.S.,NA,440,3098,271,294.79,261.69,108.78,112.65,1403,1752.45,1322.04,124.91,132.56,85.54,93.05,82.6,72.6,90.68,68.41
270,Northern Region,Uttar Pradesh,Central Sector,NPCIL,Nuclear,440,3098,271,294.79,261.69,108.78,112.65,1403,1752.45,1322.04,124.91,132.56,85.54,93.05,82.6,72.6,90.68,68.41
271,Northern Region,Uttar Pradesh,Central Sector,Central,Nuclear,440,3098,271,294.79,261.69,108.78,112.65,1403,1752.45,1322.04,124.91,132.56,85.54,93.05,82.6,72.6,90.68,68.41
272,Northern Region,Uttar Pradesh,Central Sector,Total,Thermal,24295,169635,13842,13657.59,12445.83,98.67,109.74,86997,79920.42,80474.73,91.87,99.31,72.43,78.08,70.88,75.27,74.9,75.13
273,Northern Region,Uttar Pradesh,Central Sector,Total,Nuclear,440,3098,271,294.79,261.69,108.78,112.65,1403,1752.45,1322.04,124.91,132.56,85.54,93.05,82.6,72.6,90.68,68.41
274,Northern Region,Uttar Pradesh,Central Sector,Total,Natural Gas,1493.14,1520,119,170.16,36.64,142.99,464.41,754,1246.97,694.3,165.38,179.6,NA,NA,NA,NA,NA,NA
275,Northern Region,Uttar Pradesh,Central Sector,Total,Hydro,501.6,1324,162,108.22,96.4,66.8,112.26,683,508.52,454.26,74.45,111.94,NA,NA,NA,NA,NA,NA
276,Northern Region,Uttar Pradesh,Central Sector,Total,Uttar Pradesh,26729.74,175577,14394,14230.76,12840.56,98.87,110.83,89837,83428.36,82945.33,92.87,100.58,NA,NA,NA,NA,NA,NA
277,Western Region,Chhatisgarh,State Sector,DSPM TPS,NA,500,3600,296,340.17,313.67,114.92,108.45,1869,2018.93,1744.77,108.02,115.71,82.22,94.49,87.13,85.11,91.94,79.45
278,Western Region,Chhatisgarh,State Sector,KORBA-WEST TPS,NA,1340,9600,832,746,776.43,89.66,96.08,4737,4625.27,4621.41,97.64,100.08,86.24,77.32,80.48,80.49,78.59,78.52
279,Western Region,Chhatisgarh,State Sector,MARWA TPS,NA,1000,5000,418,574.41,277.7,137.42,206.85,2816,3667.38,2313.07,130.23,158.55,58.06,79.78,38.57,64.12,83.5,52.67
280,Western Region,Chhatisgarh,State Sector,CSPGCL,Coal,2840,18200,1546,1660.58,1367.8,107.41,121.41,9422,10311.58,8679.25,109.44,118.81,75.61,81.21,66.89,75.54,82.67,69.58
281,Western Region,Chhatisgarh,State Sector,State Sector,Thermal,2840,18200,1546,1660.58,1367.8,107.41,121.41,9422,10311.58,8679.25,109.44,118.81,75.61,81.21,66.89,75.54,82.67,69.58
282,Western Region,Chhatisgarh,State Sector,HASDEOBANGO HPS,NA,120,274,50,55.27,55.8,110.54,99.05,170,185.49,142.16,109.11,130.48,NA,NA,NA,NA,NA,NA
283,Western Region,Chhatisgarh,State Sector,CSPGCL,Hydro,120,274,50,55.27,55.8,110.54,99.05,170,185.49,142.16,109.11,130.48,NA,NA,NA,NA,NA,NA
284,Western Region,Chhatisgarh,State Sector,State Sector,Hydro,120,274,50,55.27,55.8,110.54,99.05,170,185.49,142.16,109.11,130.48,NA,NA,NA,NA,NA,NA
285,Western Region,Chhatisgarh,Pvt Sector,CHAKABURA TPP,NA,30,200,15,18.07,5.61,120.47,322.1,102,113.47,73.12,111.25,155.18,69.44,83.66,25.97,77.41,86.12,55.49
286,Western Region,Chhatisgarh,Pvt Sector,KASAIPALLI TPP,NA,270,1700,105,133,0,126.67,0,812,853.43,367.05,105.1,232.51,54.01,68.42,0,68.47,71.97,30.95
287,Western Region,Chhatisgarh,Pvt Sector,SWASTIK KORBA TPP,NA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Western Region,Chhatisgarh,Pvt Sector,ACB,Coal,325,1900,120,151.07,5.61,125.89,2692.87,914,966.9,440.17,105.79,219.67,51.28,64.56,2.4,64.03,67.74,30.84
289,Western Region,Chhatisgarh,Pvt Sector,SINGHITARAI TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Western Region,Chhatisgarh,Pvt Sector,ACPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Western Region,Chhatisgarh,Pvt Sector,ADANI POWER LIMITED RAIGARH TPP,NA,600,4200,363,125.96,366.88,34.7,34.33,2264,1911.76,1804.84,84.44,105.92,84.03,29.16,84.93,85.91,72.55,68.49
292,Western Region,Chhatisgarh,Pvt Sector,ADANI POWER LIMITED RAIPUR TPP,NA,1370,8500,699,770.49,485.54,110.23,158.69,4162,4474.61,3313.05,107.51,135.06,70.86,78.11,49.22,69.17,74.37,55.06
293,Western Region,Chhatisgarh,Pvt Sector,APL,Coal,1970,12700,1062,896.45,852.42,84.41,105.17,6426,6386.37,5117.89,99.38,124.79,74.87,63.2,60.1,74.27,73.81,59.15
294,Western Region,Chhatisgarh,Pvt Sector,BALCO TPS,NA,600,3300,256,271.17,211.78,105.93,128.04,1716,1387.92,1305.56,80.88,106.31,59.26,62.77,49.02,65.12,52.67,49.54
295,Western Region,Chhatisgarh,Pvt Sector,BALCO,Coal,600,3300,256,271.17,211.78,105.93,128.04,1716,1387.92,1305.56,80.88,106.31,59.26,62.77,49.02,65.12,52.67,49.54
296,Western Region,Chhatisgarh,Pvt Sector,BARADARHA TPS,NA,1200,8400,698,750.04,582.08,107.46,128.86,4036,4371.24,3821.19,108.31,114.39,80.79,86.81,67.37,76.58,82.94,72.5
297,Western Region,Chhatisgarh,Pvt Sector,DBPCL,Coal,1200,8400,698,750.04,582.08,107.46,128.86,4036,4371.24,3821.19,108.31,114.39,80.79,86.81,67.37,76.58,82.94,72.5
298,Western Region,Chhatisgarh,Pvt Sector,OP JINDAL TPS,NA,1000,6100,430,690.17,479.28,160.5,144,3185,3953.96,2565.17,124.14,154.14,59.72,95.86,66.57,72.52,90.03,58.41
299,Western Region,Chhatisgarh,Pvt Sector,TAMNAR TPP,NA,2400,11000,888,1131.06,951.64,127.37,118.85,5600,8203.56,5500.13,146.49,149.15,51.39,65.45,55.07,53.13,77.83,52.18
300,Western Region,Chhatisgarh,Pvt Sector,JPL,Coal,3400,17100,1318,1821.23,1430.92,138.18,127.28,8785,12157.52,8065.3,138.39,150.74,53.84,74.4,58.45,58.83,81.41,54.01
301,Western Region,Chhatisgarh,Pvt Sector,PATHADI STAGE II,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Western Region,Chhatisgarh,Pvt Sector,PATHADI TPP,NA,600,4400,348,216.7,261.13,62.27,82.99,2033,1754.63,1515.99,86.31,115.74,80.56,50.16,60.45,77.15,66.58,57.53
303,Western Region,Chhatisgarh,Pvt Sector,LANCO,Coal,600,4400,348,216.7,261.13,62.27,82.99,2033,1754.63,1515.99,86.31,115.74,80.56,50.16,60.45,77.15,66.58,57.53
304,Western Region,Chhatisgarh,Pvt Sector,BANDAKHAR TPP,NA,300,2200,172,192.23,0,111.76,0,1105,1099.3,707.78,99.48,155.32,79.63,89,0,83.86,83.43,53.72
305,Western Region,Chhatisgarh,Pvt Sector,MCCPL,Coal,300,2200,172,192.23,0,111.76,0,1105,1099.3,707.78,99.48,155.32,79.63,89,0,83.86,83.43,53.72
306,Western Region,Chhatisgarh,Pvt Sector,UCHPINDA TPP,NA,1440,7100,566,809.13,216.6,142.96,373.56,3619,4101.9,2836.31,113.34,144.62,54.59,78.04,20.89,57.22,64.86,44.85
307,Western Region,Chhatisgarh,Pvt Sector,RKMPPL,Coal,1440,7100,566,809.13,216.6,142.96,373.56,3619,4101.9,2836.31,113.34,144.62,54.59,78.04,20.89,57.22,64.86,44.85
308,Western Region,Chhatisgarh,Pvt Sector,RATIJA TPS,NA,100,700,56,64.68,11.02,115.5,586.93,356,350.08,223.7,98.34,156.5,77.78,89.83,15.31,81.06,79.71,50.93
309,Western Region,Chhatisgarh,Pvt Sector,SCPL,Coal,100,700,56,64.68,11.02,115.5,586.93,356,350.08,223.7,98.34,156.5,77.78,89.83,15.31,81.06,79.71,50.93
310,Western Region,Chhatisgarh,Pvt Sector,BINJKOTE TPP,NA,600,2000,156,176.43,133.27,113.1,132.39,1066,1282.18,376.6,120.28,340.46,36.11,40.84,30.85,40.45,48.66,14.29
311,Western Region,Chhatisgarh,Pvt Sector,SKS,Coal,600,2000,156,176.43,133.27,113.1,132.39,1066,1282.18,376.6,120.28,340.46,36.11,40.84,30.85,40.45,48.66,14.29
312,Western Region,Chhatisgarh,Pvt Sector,SVPL TPP,NA,63,100,8,29.95,0,374.38,0,52,150.92,0,290.23,0,17.64,66.03,0,18.79,54.54,0
313,Western Region,Chhatisgarh,Pvt Sector,SVPPL,Coal,63,100,8,29.95,0,374.38,0,52,150.92,0,290.23,0,17.64,66.03,0,18.79,54.54,0
314,Western Region,Chhatisgarh,Pvt Sector,NAWAPARA TPP,NA,600,3000,137,273.31,252.23,199.5,108.36,1462,1845.18,1073.36,126.21,171.91,31.71,63.27,58.39,55.48,70.02,40.73
315,Western Region,Chhatisgarh,Pvt Sector,TRNE,Coal,600,3000,137,273.31,252.23,199.5,108.36,1462,1845.18,1073.36,126.21,171.91,31.71,63.27,58.39,55.48,70.02,40.73
316,Western Region,Chhatisgarh,Pvt Sector,KATGHORA TPP,NA,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Western Region,Chhatisgarh,Pvt Sector,VESPL,Coal,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Western Region,Chhatisgarh,Pvt Sector,SALORA TPP,NA,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Western Region,Chhatisgarh,Pvt Sector,VVL,Coal,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Western Region,Chhatisgarh,Pvt Sector,AKALTARA TPS,NA,1800,11800,736,796.85,656.93,108.27,121.3,5745,5406.34,5076.28,94.11,106.5,56.79,61.49,50.69,72.67,68.39,64.21
321,Western Region,Chhatisgarh,Pvt Sector,WPCL,Coal,1800,11800,736,796.85,656.93,108.27,121.3,5745,5406.34,5076.28,94.11,106.5,56.79,61.49,50.69,72.67,68.39,64.21
322,Western Region,Chhatisgarh,Pvt Sector,Pvt Sector,Thermal,13168,74700,5633,6449.24,4613.99,114.49,139.78,37315,41260.48,30560.13,110.57,135.01,59.41,68.02,48.67,64.52,71.34,52.84
323,Western Region,Chhatisgarh,Central Sector,BHILAI TPS,NA,500,3700,309,338.85,284.79,109.66,118.98,1926,2015.76,1962.69,104.66,102.7,85.83,94.13,79.11,87.7,91.79,89.38
324,Western Region,Chhatisgarh,Central Sector,NSPCL,Coal,500,3700,309,338.85,284.79,109.66,118.98,1926,2015.76,1962.69,104.66,102.7,85.83,94.13,79.11,87.7,91.79,89.38
325,Western Region,Chhatisgarh,Central Sector,KORBA STPS,NA,2600,21175,1682,1750.99,1751.68,104.1,99.96,10245,9995.88,9997.18,97.57,99.99,89.85,93.54,93.57,89.72,87.54,87.55
326,Western Region,Chhatisgarh,Central Sector,LARA TPP,NA,1600,12000,986,1089.72,794.73,110.52,137.12,6191,6150.23,5808.06,99.34,105.89,85.59,94.59,68.99,88.1,87.52,82.65
327,Western Region,Chhatisgarh,Central Sector,SIPAT STPS,NA,2980,22700,1271,1634.71,1912.47,128.62,85.48,10314,10128.66,9860.3,98.2,102.72,59.24,76.19,89.13,78.8,77.39,75.34
328,Western Region,Chhatisgarh,Central Sector,NTPC Ltd.,Coal,7180,55875,3939,4475.42,4458.88,113.62,100.37,26750,26274.77,25665.54,98.22,102.37,76.2,86.57,86.25,84.83,83.32,81.39
329,Western Region,Chhatisgarh,Central Sector,Central,Thermal,7680,59575,4248,4814.27,4743.67,113.33,101.49,28676,28290.53,27628.23,98.66,102.4,76.82,87.06,85.79,85.01,83.87,81.91
330,Western Region,Chhatisgarh,Central Sector,Total,Thermal,23688,152475,11427,12924.09,10725.46,113.1,120.5,75413,79862.59,66867.61,105.9,119.43,67,75.78,62.89,72.49,76.76,64.27
331,Western Region,Chhatisgarh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
332,Western Region,Chhatisgarh,Central Sector,Total,Hydro,120,274,50,55.27,55.8,110.54,99.05,170,185.49,142.16,109.11,130.48,NA,NA,NA,NA,NA,NA
333,Western Region,Chhatisgarh,Central Sector,Total,Chhatisgarh,23808,152749,11477,12979.36,10781.26,113.09,120.39,75583,80048.08,67009.77,105.91,119.46,NA,NA,NA,NA,NA,NA
334,Western Region,Goa,Pvt Sector,GOA CCPP (Liq.),NA,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
335,Western Region,Goa,Pvt Sector,Reliance,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
336,Western Region,Goa,Pvt Sector,Pvt Sector,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
337,Western Region,Goa,Pvt Sector,Total,Natural Gas,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
338,Western Region,Goa,Pvt Sector,Total,Goa,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
339,Western Region,Gujarat,State Sector,AKRIMOTA LIG TPS,NA,250,1000,88,36.22,23.91,41.16,151.48,449,247.27,378.38,55.07,65.35,48.89,20.12,13.28,40.89,22.52,34.46
340,Western Region,Gujarat,State Sector,GMDCL,Coal,250,1000,88,36.22,23.91,41.16,151.48,449,247.27,378.38,55.07,65.35,48.89,20.12,13.28,40.89,22.52,34.46
341,Western Region,Gujarat,State Sector,BHAVNAGAR CFBC TPP,NA,500,1200,96,122.06,84.73,127.15,144.06,636,803.68,579.27,126.36,138.74,26.67,33.91,23.54,28.96,36.6,26.38
342,Western Region,Gujarat,State Sector,GANDHI NAGAR TPS,NA,630,2900,154,242.41,243.25,157.41,99.65,1372,1664.88,1804.01,121.35,92.29,33.95,53.44,53.63,49.59,60.17,65.2
343,Western Region,Gujarat,State Sector,KUTCH LIG. TPS,NA,150,900,67,35.6,68.69,53.13,51.83,439,284.01,308.75,64.69,91.99,62.04,32.96,63.6,66.64,43.11,46.87
344,Western Region,Gujarat,State Sector,SIKKA REP. TPS,NA,500,1700,135,80.46,238.87,59.6,33.68,840,222.91,754.55,26.54,29.54,37.5,22.35,66.35,38.25,10.15,34.36
345,Western Region,Gujarat,State Sector,UKAI TPS,NA,1110,5900,426,354.97,352.12,83.33,100.81,2914,2772.53,2825.95,95.15,98.11,53.3,44.42,44.06,59.77,56.87,57.97
346,Western Region,Gujarat,State Sector,WANAKBORI TPS,NA,2270,10450,796,1077.57,666.7,135.37,161.63,5235,6233.38,5462.85,119.07,114.1,48.7,65.93,40.79,52.51,62.52,54.79
347,Western Region,Gujarat,State Sector,GSECL,Coal,5160,23050,1674,1913.07,1654.36,114.28,115.64,11436,11981.39,11735.38,104.77,102.1,45.06,51.49,44.53,50.46,52.87,51.78
348,Western Region,Gujarat,State Sector,State Sector,Thermal,5410,24050,1762,1949.29,1678.27,110.63,116.15,11885,12228.66,12113.76,102.89,100.95,45.24,50.04,43.09,50.02,51.47,50.98
349,Western Region,Gujarat,State Sector,PIPAVAV CCPP,NA,702,500,42,54.41,0,129.55,0,258,97.1,0,37.64,0,NA,NA,NA,NA,NA,NA
350,Western Region,Gujarat,State Sector,GPPCL,Natural Gas,702,500,42,54.41,0,129.55,0,258,97.1,0,37.64,0,NA,NA,NA,NA,NA,NA
351,Western Region,Gujarat,State Sector,DHUVARAN CCPP,NA,594.72,360,29,51.37,0,177.14,0,179,160.31,0,89.56,0,NA,NA,NA,NA,NA,NA
352,Western Region,Gujarat,State Sector,UTRAN CCPP,NA,374,200,16,40.71,0,254.44,0,96,170.22,0,177.31,0,NA,NA,NA,NA,NA,NA
353,Western Region,Gujarat,State Sector,GSECL,Natural Gas,968.72,560,45,92.08,0,204.62,0,275,330.53,0,120.19,0,NA,NA,NA,NA,NA,NA
354,Western Region,Gujarat,State Sector,HAZIRA CCPP,NA,156.1,150,12,0,0,0,0,78,0,0,0,0,NA,NA,NA,NA,NA,NA
355,Western Region,Gujarat,State Sector,HAZIRA CCPP EXT,NA,351,200,17,0,0,0,0,98,0,0,0,0,NA,NA,NA,NA,NA,NA
356,Western Region,Gujarat,State Sector,GSEGL,Natural Gas,507.1,350,29,0,0,0,0,176,0,0,0,0,NA,NA,NA,NA,NA,NA
357,Western Region,Gujarat,State Sector,State Sector,Natural Gas,2177.82,1410,116,146.49,0,126.28,0,709,427.63,0,60.31,0,NA,NA,NA,NA,NA,NA
358,Western Region,Gujarat,State Sector,KADANA HPS,NA,240,330,88,55.74,96.02,63.34,58.05,177,132.51,217.11,74.86,61.03,NA,NA,NA,NA,NA,NA
359,Western Region,Gujarat,State Sector,UKAI HPS,NA,300,721,139,100.01,132.85,71.95,75.28,405,325.53,594.31,80.38,54.77,NA,NA,NA,NA,NA,NA
360,Western Region,Gujarat,State Sector,GSECL,Hydro,540,1051,227,155.75,228.87,68.61,68.05,582,458.04,811.42,78.7,56.45,NA,NA,NA,NA,NA,NA
361,Western Region,Gujarat,State Sector,S SAROVAR CHPH HPS,NA,250,986,87,129.11,158.67,148.4,81.37,318,361.92,354.29,113.81,102.15,NA,NA,NA,NA,NA,NA
362,Western Region,Gujarat,State Sector,S SAROVAR RBPH HPS,NA,1200,2114,541,484.54,887.79,89.56,54.58,1304,1778.31,2438.57,136.37,72.92,NA,NA,NA,NA,NA,NA
363,Western Region,Gujarat,State Sector,SSNNL,Hydro,1450,3100,628,613.65,1046.46,97.71,58.64,1622,2140.23,2792.86,131.95,76.63,NA,NA,NA,NA,NA,NA
364,Western Region,Gujarat,State Sector,State Sector,Hydro,1990,4151,855,769.4,1275.33,89.99,60.33,2204,2598.27,3604.28,117.89,72.09,NA,NA,NA,NA,NA,NA
365,Western Region,Gujarat,Pvt Sector,MUNDRA TPS-III,NA,1980,6500,494,956.91,168.84,193.71,566.76,3436,6160.14,2315.51,179.28,266.04,34.65,67.12,11.84,39.51,70.84,26.63
366,Western Region,Gujarat,Pvt Sector,MUNDRA TPS-I & II,NA,2640,9600,735,1315.67,749.38,179,175.57,5099,2542.48,3974.68,49.86,63.97,38.67,69.22,39.42,43.98,21.93,34.28
367,Western Region,Gujarat,Pvt Sector,APL,Coal,4620,16100,1229,2272.58,918.22,184.91,247.5,8535,8702.62,6290.19,101.96,138.35,36.95,68.32,27.6,42.06,42.89,31
368,Western Region,Gujarat,Pvt Sector,MUNDRA UMTPP,NA,4000,11500,765,1903.59,1172.4,248.84,162.37,5819,9282.18,7604.47,159.52,122.06,26.56,66.1,40.71,33.12,52.84,43.29
369,Western Region,Gujarat,Pvt Sector,CGPL,Coal,4000,11500,765,1903.59,1172.4,248.84,162.37,5819,9282.18,7604.47,159.52,122.06,26.56,66.1,40.71,33.12,52.84,43.29
370,Western Region,Gujarat,Pvt Sector,SALAYA TPP,NA,1200,2000,164,358.47,114.97,218.58,311.79,1002,2116.31,114.97,211.21,1840.75,18.98,41.49,13.31,19.01,40.15,2.18
371,Western Region,Gujarat,Pvt Sector,EPGL,Coal,1200,2000,164,358.47,114.97,218.58,311.79,1002,2116.31,114.97,211.21,1840.75,18.98,41.49,13.31,19.01,40.15,2.18
372,Western Region,Gujarat,Pvt Sector,SURAT LIG. TPS,NA,500,2800,197,197.95,149.69,100.48,132.24,1371,1368.05,1260.97,99.78,108.49,54.72,54.99,41.58,62.43,62.3,57.42
373,Western Region,Gujarat,Pvt Sector,GIPCL,Coal,500,2800,197,197.95,149.69,100.48,132.24,1371,1368.05,1260.97,99.78,108.49,54.72,54.99,41.58,62.43,62.3,57.42
374,Western Region,Gujarat,Pvt Sector,SABARMATI (D-F STATIONS),NA,362,2750,244,241.34,242.53,98.91,99.51,1485,1504.73,1479.62,101.33,101.7,93.62,92.6,93.05,93.4,94.64,93.06
375,Western Region,Gujarat,Pvt Sector,TOR. POW.,Coal,362,2750,244,241.34,242.53,98.91,99.51,1485,1504.73,1479.62,101.33,101.7,93.62,92.6,93.05,93.4,94.64,93.06
376,Western Region,Gujarat,Pvt Sector,Pvt Sector,Thermal,10682,35150,2599,4973.93,2597.81,191.38,191.47,18212,22973.89,16750.22,126.15,137.16,33.79,64.67,33.78,38.82,48.97,35.7
377,Western Region,Gujarat,Pvt Sector,PEGUTHAN CCPP,NA,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
378,Western Region,Gujarat,Pvt Sector,CLPINDIA,Natural Gas,655,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
379,Western Region,Gujarat,Pvt Sector,ESSAR CCPP,NA,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
380,Western Region,Gujarat,Pvt Sector,ESSAR,Natural Gas,515,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
381,Western Region,Gujarat,Pvt Sector,BARODA CCPP,NA,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
382,Western Region,Gujarat,Pvt Sector,GIPCL. GT IMP,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
383,Western Region,Gujarat,Pvt Sector,GIPCL,Natural Gas,160,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
384,Western Region,Gujarat,Pvt Sector,SUGEN CCPP,NA,1147.5,1700,142,281.56,1.33,198.28,21169.92,867,2148.58,764.53,247.82,281.03,NA,NA,NA,NA,NA,NA
385,Western Region,Gujarat,Pvt Sector,TOR. POW.,Natural Gas,1147.5,1700,142,281.56,1.33,198.28,21169.92,867,2148.58,764.53,247.82,281.03,NA,NA,NA,NA,NA,NA
386,Western Region,Gujarat,Pvt Sector,DGEN MEGA CCPP,NA,1200,150,12,85.1,0,709.17,0,78,385.25,0,493.91,0,NA,NA,NA,NA,NA,NA
387,Western Region,Gujarat,Pvt Sector,UNOSUGEN CCPP,NA,382.5,500,42,201.31,0,479.31,0,256,933.04,8.54,364.47,10925.53,NA,NA,NA,NA,NA,NA
388,Western Region,Gujarat,Pvt Sector,TOR. POW.,Natural Gas,1582.5,650,54,286.41,0,530.39,0,334,1318.29,8.54,394.7,15436.65,NA,NA,NA,NA,NA,NA
389,Western Region,Gujarat,Pvt Sector,Pvt Sector,Natural Gas,4060,2350,196,567.97,1.33,289.78,42704.51,1201,3466.87,773.07,288.67,448.45,NA,NA,NA,NA,NA,NA
390,Western Region,Gujarat,Central Sector,GANDHAR CCPP,NA,657.39,540,45,88.89,21.12,197.53,420.88,274,462.59,178.13,168.83,259.69,NA,NA,NA,NA,NA,NA
391,Western Region,Gujarat,Central Sector,KAWAS CCPP,NA,656.2,430,37,77.42,15.93,209.24,486,214,415.64,172.58,194.22,240.84,NA,NA,NA,NA,NA,NA
392,Western Region,Gujarat,Central Sector,NTPC Ltd.,Natural Gas,1313.59,970,82,166.31,37.05,202.82,448.88,488,878.23,350.71,179.97,250.41,NA,NA,NA,NA,NA,NA
393,Western Region,Gujarat,Central Sector,CENTRAL,Natural Gas,1313.59,970,82,166.31,37.05,202.82,448.88,488,878.23,350.71,179.97,250.41,NA,NA,NA,NA,NA,NA
394,Western Region,Gujarat,Central Sector,KAKRAPARA,NA,1140,9014,784,803.87,319.29,102.53,251.77,4110,3077.82,1926.11,74.89,159.79,65.06,97.94,100.79,67.11,88.49,99.67
395,Western Region,Gujarat,Central Sector,NPCIL,Nuclear,1140,9014,784,803.87,319.29,102.53,251.77,4110,3077.82,1926.11,74.89,159.79,65.06,97.94,100.79,67.11,88.49,99.67
396,Western Region,Gujarat,Central Sector,Central,Nuclear,1140,9014,784,803.87,319.29,102.53,251.77,4110,3077.82,1926.11,74.89,159.79,65.06,97.94,100.79,67.11,88.49,99.67
