Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),September` 2023 - Program - Col (3),September` 2023 - Actual - Col (4),September` 2023 - Actual Same Month 2022-23 - Col (5),September` 2023 - % of Program Col. (4/3) - Col (6),September` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to September` 2023 - Program - Col (8),April` 2023 to September` 2023 - Actual - Col (9),April` 2023 to September` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to September` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to September` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - September` 2023 - Program - Col (13),Plant Load Factor (%) - September` 2023 - Actual - Col (14),Plant Load Factor (%) - September` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to September` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual Same Peroid 2022-23 - Col (18)
46,Northern Region,Himachal Pradesh,Pvt Sector,BUDHIL HPS,NA,70,293,40,35.03,34.7,87.58,100.95,246,213.84,214.14,86.93,99.86,NA,NA,NA,NA,NA,NA
47,Northern Region,Himachal Pradesh,Pvt Sector,GBHPPL,Hydro,70,293,40,35.03,34.7,87.58,100.95,246,213.84,214.14,86.93,99.86,NA,NA,NA,NA,NA,NA
48,Northern Region,Himachal Pradesh,Pvt Sector,BAJOLI HOLI HPS,NA,180,770,105,86.19,75.69,82.09,113.87,639,588.59,330.46,92.11,178.11,NA,NA,NA,NA,NA,NA
49,Northern Region,Himachal Pradesh,Pvt Sector,GMR BHHPL,Hydro,180,770,105,86.19,75.69,82.09,113.87,639,588.59,330.46,92.11,178.11,NA,NA,NA,NA,NA,NA
50,Northern Region,Himachal Pradesh,Pvt Sector,BASPA HPS,NA,300,1213,150,199.68,208,133.12,96,902,929.58,1094.67,103.06,84.92,NA,NA,NA,NA,NA,NA
51,Northern Region,Himachal Pradesh,Pvt Sector,KARCHAM WANGTOO HPS,NA,1045,4132,479,548.07,609.16,114.42,89.97,3323,3009.06,3410.12,90.55,88.24,NA,NA,NA,NA,NA,NA
52,Northern Region,Himachal Pradesh,Pvt Sector,HBPCL,Hydro,1345,5345,629,747.75,817.16,118.88,91.51,4225,3938.64,4504.79,93.22,87.43,NA,NA,NA,NA,NA,NA
53,Northern Region,Himachal Pradesh,Pvt Sector,SORANG HPS,NA,100,402,60,47.51,58.62,79.18,81.05,311,170.07,239.24,54.68,71.09,NA,NA,NA,NA,NA,NA
54,Northern Region,Himachal Pradesh,Pvt Sector,HSPCL,Hydro,100,402,60,47.51,58.62,79.18,81.05,311,170.07,239.24,54.68,71.09,NA,NA,NA,NA,NA,NA
55,Northern Region,Himachal Pradesh,Pvt Sector,CHANJU-I HPS,NA,36,158,18,13.32,19.29,74,69.05,117,125.53,104.07,107.29,120.62,NA,NA,NA,NA,NA,NA
56,Northern Region,Himachal Pradesh,Pvt Sector,IAEPL,Hydro,36,158,18,13.32,19.29,74,69.05,117,125.53,104.07,107.29,120.62,NA,NA,NA,NA,NA,NA
57,Northern Region,Himachal Pradesh,Pvt Sector,MALANA HPS,NA,86,332,48,40.54,47.38,84.46,85.56,270,192.88,257.74,71.44,74.84,NA,NA,NA,NA,NA,NA
58,Northern Region,Himachal Pradesh,Pvt Sector,MPCL,Hydro,86,332,48,40.54,47.38,84.46,85.56,270,192.88,257.74,71.44,74.84,NA,NA,NA,NA,NA,NA
59,Northern Region,Himachal Pradesh,Pvt Sector,TIDONG HPS,NA,0,50,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
60,Northern Region,Himachal Pradesh,Pvt Sector,NTPGPL,Hydro,0,50,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
61,Northern Region,Himachal Pradesh,Pvt Sector,Pvt Sector,Hydro,2109,8351,1031,1045.46,1174.4,101.4,89.02,6644,5820.3,6444.35,87.6,90.32,NA,NA,NA,NA,NA,NA
62,Northern Region,Himachal Pradesh,Central Sector,BHAKRA LEFT HPS,NA,612,2014,263,326.18,244.8,124.02,133.24,1149,1538.52,1162.34,133.9,132.36,NA,NA,NA,NA,NA,NA
63,Northern Region,Himachal Pradesh,Central Sector,BHAKRA RIGHT HPS,NA,785,2586,337,359.19,354.5,106.58,101.32,1476,1898.84,1505.33,128.65,126.14,NA,NA,NA,NA,NA,NA
64,Northern Region,Himachal Pradesh,Central Sector,DEHAR HPS,NA,990,3000,411,397.23,425.49,96.65,93.36,2322,2054.28,2201.63,88.47,93.31,NA,NA,NA,NA,NA,NA
65,Northern Region,Himachal Pradesh,Central Sector,PONG HPS,NA,396,1100,150,218.21,211.72,145.47,103.07,610,876.55,687.27,143.7,127.54,NA,NA,NA,NA,NA,NA
66,Northern Region,Himachal Pradesh,Central Sector,BBMB,Hydro,2783,8700,1161,1300.81,1236.51,112.04,105.2,5557,6368.19,5556.57,114.6,114.61,NA,NA,NA,NA,NA,NA
67,Northern Region,Himachal Pradesh,Central Sector,BAIRA SIUL HPS,NA,180,692,67,41.88,63.69,62.51,65.76,541,380.74,400.04,70.38,95.18,NA,NA,NA,NA,NA,NA
68,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-I HPS,NA,540,2224,230,181.34,226.41,78.84,80.09,1703,1748.57,1509.03,102.68,115.87,NA,NA,NA,NA,NA,NA
